F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
          Motor vehicle license,"27,538,213",0.10,"242,110",0.99,"61,171",0.02,"231,309",0.00,"163,023",0.00,"4,060,557",0.05,"591,757",0.40,"224,287",0.00,"54,287",0.00,"36,751",0.00,"1,552,270",0.00,"366,897",0.00,"377,589",0.00,"185,655",0.00,"1,740,772",0.10,"340,543",1.03,"631,740",0.12,"245,808",0.61,"218,261",0.71,"136,771",0.07,"108,910",0.02,"492,753",0.00,"464,428",0.00,"1,060,521",0.00,"756,419",0.10,"158,029",0.00
          Other taxes,"81,371,144",0.19,"1,109,799",1.74,"439,015",0.07,"720,901",1.63,"384,556",0.17,"11,987,578",1.06,"724,977",2.62,"751,394",0.20,"1,609,250",0.00,"714,814",0.00,"5,488,171",0.96,"766,694",1.15,"242,727",0.00,"256,989",1.69,"2,320,561",0.53,"521,909",0.47,"499,251",0.31,"331,503",0.76,"583,489",0.47,"923,659",0.46,"243,033",0.27,"2,088,028",0.12,"1,754,579",0.23,"1,222,703",0.53,"1,508,403",0.26,"521,525",0.32
     Charges and miscellaneous general revenue,"722,365,043",0.12,"12,267,367",0.38,"4,825,835",0.23,"10,530,705",0.41,"5,112,140",0.51,"103,135,238",0.61,"13,070,936",0.78,"5,544,135",0.24,"2,898,465",0.00,"1,709,937",0.00,"47,572,635",0.46,"16,389,227",0.47,"3,957,216",0.00,"3,021,444",0.33,"21,054,118",0.60,"14,784,622",0.71,"11,080,037",0.84,"8,142,930",0.89,"7,686,064",0.30,"9,486,683",0.15,"2,021,102",0.65,"11,118,747",0.12,"14,909,808",0.18,"22,731,454",0.63,"12,576,824",0.72,"7,127,988",0.41
          Current charges,"504,268,080",0.16,"10,184,941",0.41,"1,589,998",0.69,"6,937,158",0.60,"3,613,961",0.66,"80,459,550",0.73,"9,242,729",0.94,"3,436,763",0.33,"1,469,275",0.00,"799,060",0.00,"30,904,042",0.41,"12,358,709",0.60,"2,531,847",0.00,"2,253,898",0.42,"13,615,545",0.89,"11,339,668",0.90,"7,129,569",1.29,"5,893,441",1.20,"5,910,764",0.38,"5,867,142",0.14,"1,422,868",0.72,"7,280,568",0.16,"8,750,381",0.30,"16,531,848",0.85,"8,434,839",1.04,"5,849,665",0.48
               Education,"131,241,601",0.02,"2,914,762",0.00,"229,891",0.03,"2,930,839",0.00,"1,069,062",0.00,"12,955,850",0.00,"3,323,765",0.00,"1,471,060",0.04,"663,953",0.00,"41,564",0.00,"4,689,132",0.00,"3,036,040",0.00,"450,294",0.00,"516,262",0.00,"4,389,368",0.00,"3,744,747",0.00,"1,992,198",0.00,"1,555,771",0.00,"1,675,951",0.00,"1,598,467",0.00,"362,916",0.05,"2,612,746",0.00,"3,061,921",0.09,"5,972,768",0.00,"2,493,451",0.00,"1,336,129",0.00
                    Institutions  of higher education,"115,406,297",0.02,"2,542,480",0.00,"196,746",0.00,"2,705,651",0.00,"909,538",0.00,"11,809,793",0.00,"2,851,706",0.00,"1,341,462",0.00,"651,131",0.00,"36,811",0.00,"3,510,190",0.00,"2,506,497",0.00,"417,401",0.00,"479,396",0.00,"3,800,197",0.00,"3,406,433",0.00,"1,814,584",0.00,"1,401,813",0.00,"1,567,680",0.00,"1,536,302",0.00,"319,231",0.00,"2,486,571",0.00,"2,700,547",0.00,"5,399,758",0.00,"1,959,588",0.00,"1,162,099",0.00
                    School lunch sales (gross),"5,638,119",0.10,"110,651",0.00,"7,308",0.68,"82,831",0.00,"48,351",0.00,"366,527",0.00,"90,771",0.00,"108,360",0.60,"11,997",0.00,807,0.00,"207,059",0.00,"163,020",0.00,"24,472",0.00,"22,672",0.00,"208,105",0.00,"188,816",0.00,"111,713",0.00,"82,460",0.00,"64,074",0.00,"34,980",0.00,"27,987",0.52,"93,579",0.00,"174,030",0.60,"157,751",0.00,"185,392",0.00,"42,965",0.00
               Hospitals,"151,433,644",0.31,"5,520,001",0.48,"390,326",2.41,"821,916",0.03,"1,368,275",1.54,"25,032,618",0.92,"2,006,234",1.88,"411,266",0.00,"5,430",0.00,"146,786",0.00,"7,958,450",0.23,"4,068,073",0.95,"650,377",0.00,"555,522",0.00,"1,801,973",3.85,"4,860,091",1.77,"3,547,146",2.57,"2,831,775",2.46,"2,348,155",0.22,"2,153,088",0.10,"133,054",0.10,"181,233",0.00,"307,109",0.00,"4,311,076",1.75,"2,007,841",3.15,"3,577,320",0.52
               Highways,"19,170,989",0.19,"15,497",19.70,"89,536",0.31,"22,030",2.35,"8,131",0.16,"816,510",2.93,"279,970",1.17,"6,863",0.22,"316,399",0.00,"4,742",0.00,"1,985,514",0.12,"52,150",0.73,"4,590",0.00,"37,437",0.98,"1,256,469",0.22,"9,064",7.42,"4,342",3.83,"127,613",0.48,"56,754",0.52,"55,213",0.40,"141,774",0.22,"720,084",0.00,"974,092",0.00,"146,099",3.67,"134,913",3.07,"11,031",0.00
               Air transportation (airports),"22,671,980",0.29,"111,759",3.32,"160,823",0.02,"482,654",0.31,"75,146",3.04,"3,542,889",0.73,"796,430",0.22,"22,621",5.01,"7,075",0.00,0,0.00,"2,144,740",1.46,"583,486",0.26,"384,560",0.00,"41,969",0.42,"1,315,135",1.44,"216,623",0.58,"70,900",1.63,"42,495",0.33,"202,424",0.46,"160,005",0.00,"38,121",0.19,"233,738",0.00,"728,037",0.00,"507,002",1.00,"326,404",0.35,"45,181",5.18
               Parking facilities,"3,106,890",1.52,"10,670",0.00,"1,341",9.81,"14,538",0.04,"4,058",4.85,"737,238",5.73,"24,776",23.93,"75,643",0.01,"19,135",0.00,"43,471",0.00,"220,405",7.30,"17,364",0.67,"10,524",0.00,291,0.00,"61,250",5.49,"11,248",3.27,"25,538",0.07,"6,044",0.00,"31,145",0.00,"9,419",0.00,"9,833",1.68,"132,438",0.23,"47,279",4.25,"87,961",1.89,"94,341",0.00,945,0.00
               Sea and inland port facilities,"5,257,423",1.17,"119,690",0.00,"76,338",1.61,0,0.00,"4,207",0.75,"1,377,859",1.91,0,0.00,"1,238",0.32,"38,418",0.00,0,0.00,"529,428",0.95,"346,263",0.00,"119,359",0.00,976,80.56,"10,851",4.99,"17,396",0.36,12,9.32,0,0.00,"18,576",81.73,"189,913",0.00,"4,570",36.50,"56,967",0.00,"108,973",1.03,"2,801",8.18,"17,613",0.08,"40,386",2.16
               Natural resources,"4,742,114",2.97,"7,045",1.04,"44,469",0.00,"134,782",19.73,"25,497",0.67,"1,705,119",7.52,"60,976",7.21,"31,412",0.14,"1,489",0.00,0,0.00,"513,554",4.83,"55,380",0.51,"19,709",0.00,"94,253",4.37,"65,729",6.21,"51,384",0.84,"110,485",0.41,"45,467",3.09,"58,809",0.56,"14,003",0.12,"20,999",5.01,"21,702",1.96,"24,076",0.40,"57,333",2.72,"91,714",2.58,"13,174",3.53
               Parks and recreation,"10,960,124",0.84,"141,562",1.16,"17,954",0.77,"177,139",1.03,"73,870",1.28,"1,750,490",2.86,"333,304",9.45,"97,817",0.71,"15,978",0.00,"30,633",0.00,"785,311",3.20,"258,469",2.25,"45,106",0.00,"51,797",1.84,"998,022",5.50,"180,354",1.30,"113,319",1.80,"86,206",0.36,"121,952",0.81,"214,540",0.64,"34,480",2.96,"211,952",0.76,"158,321",3.03,"212,989",2.63,"295,207",1.24,"33,647",4.55
               Housing and community development,"6,916,439",1.46,"94,669",2.98,"52,183",0.04,"25,555",4.50,"28,072",7.25,"983,027",8.65,"182,660",11.41,"141,818",6.67,"17,280",0.00,"27,237",0.00,"219,973",7.63,"121,629",5.26,"31,764",0.00,"34,072",4.38,"208,411",2.78,"52,217",5.50,"24,839",4.16,"41,726",10.10,"44,358",3.53,"64,786",3.10,"38,160",6.19,"194,564",0.40,"397,348",5.43,"67,701",5.54,"304,546",4.87,"35,933",6.65
               Sewerage,"55,905,543",0.57,"533,254",2.66,"106,309",1.34,"915,645",1.88,"307,063",2.13,"7,628,144",2.84,"893,478",6.46,"445,797",0.71,"164,753",0.00,"299,665",0.00,"3,440,019",2.71,"1,618,875",1.88,"487,551",0.00,"250,289",3.10,"1,540,574",4.54,"1,719,120",2.79,"596,087",1.77,"443,321",0.35,"640,943",2.05,"462,762",1.48,"172,899",4.99,"1,285,508",0.82,"1,722,991",0.61,"1,957,071",1.71,"1,107,393",3.71,"273,808",5.20
               Solid waste management,"17,744,970",0.77,"224,662",3.63,"85,409",0.96,"465,378",1.47,"185,374",3.10,"3,020,720",3.55,"120,120",2.74,"169,514",1.94,"82,733",0.00,"4,688",0.00,"2,298,380",1.67,"614,506",2.90,"159,822",0.00,"165,332",1.31,"316,676",4.27,"141,664",6.67,"271,709",2.13,"159,907",4.29,"126,154",4.17,"218,806",1.44,"53,577",3.77,"489,816",0.45,"140,262",2.76,"266,979",3.14,"318,374",3.42,"154,422",6.80
               Other charges,"75,116,363",0.70,"491,370",5.51,"335,419",1.54,"946,682",2.71,"465,206",1.43,"20,909,086",2.16,"1,221,016",2.96,"561,714",0.79,"136,632",0.00,"200,274",0.00,"6,119,136",0.89,"1,586,474",3.30,"168,191",0.00,"505,698",0.36,"1,651,087",2.26,"335,760",7.44,"372,994",1.74,"553,116",1.70,"585,543",1.21,"726,140",0.28,"412,485",1.00,"1,139,820",0.26,"1,079,972",0.72,"2,942,068",3.84,"1,243,042",3.28,"327,689",3.25
          Miscellaneous general revenue,"218,096,963",0.15,"2,082,426",1.01,"3,235,837",0.06,"3,593,547",0.35,"1,498,179",0.71,"22,675,688",0.93,"3,828,207",1.41,"2,107,372",0.31,"1,429,190",0.00,"910,877",0.00,"16,668,593",1.07,"4,030,518",0.54,"1,425,369",0.00,"767,546",0.46,"7,438,573",0.48,"3,444,954",0.61,"3,950,468",0.38,"2,249,489",0.65,"1,775,300",0.28,"3,619,541",0.32,"598,234",1.36,"3,838,179",0.17,"6,159,427",0.13,"6,199,606",0.53,"4,141,985",0.57,"1,278,323",0.70
               Interest earnings,"47,428,903",0.19,"313,206",2.13,"745,056",0.12,"973,252",0.35,"246,882",3.38,"4,732,384",1.43,"959,139",1.59,"683,972",0.12,"113,233",0.00,"61,020",0.00,"1,750,290",0.59,"484,411",0.91,"98,700",0.00,"180,781",0.21,"1,840,765",0.39,"1,128,561",0.19,"1,868,847",0.13,"406,590",0.90,"535,460",0.20,"688,706",0.21,"167,730",1.08,"611,571",0.04,"1,217,101",0.09,"1,427,284",1.02,"906,860",1.33,"147,191",2.68
               Special assessments,"8,781,200",2.40,"29,311",2.94,"9,199",1.11,"51,545",10.54,"22,968",11.81,"1,663,429",6.20,"312,414",10.14,"35,809",5.35,"26,236",0.00,0,0.00,"2,863,472",5.92,"45,242",3.72,"33,736",0.00,"31,112",5.96,"405,287",0.17,"16,781",9.78,"21,157",19.43,"120,959",2.30,"10,686",20.87,"11,608",4.05,"7,041",12.97,"31,093",0.58,"11,952",23.52,"210,368",8.46,"430,499",2.94,"8,363",37.38
               Sale of property,"4,115,075",1.12,"82,076",9.78,"383,413",0.02,"145,909",0.55,"23,385",13.31,"762,702",3.39,"100,946",15.92,"18,826",3.19,"2,750",0.00,"1,525",0.00,"201,581",4.83,"68,234",9.99,"1,646",0.00,"58,019",1.07,"11,521",1.02,"75,724",3.06,"36,120",3.41,"38,644",4.94,"59,671",3.35,"16,715",1.86,"8,095",5.86,"19,874",1.55,"84,262",0.82,"66,558",2.59,"87,637",1.86,"32,119",8.38
               Other general revenue,"157,771,785",0.14,"1,657,833",1.10,"2,098,169",0.08,"2,422,841",0.44,"1,204,944",0.44,"15,517,173",1.09,"2,455,708",1.54,"1,368,765",0.45,"1,286,971",0.00,"848,332",0.00,"11,853,250",0.46,"3,432,631",0.58,"1,291,287",0.00,"497,634",0.59,"5,181,000",0.67,"2,223,888",0.94,"2,024,344",0.70,"1,683,296",0.82,"1,169,483",0.32,"2,902,512",0.40,"415,368",1.90,"3,175,641",0.20,"4,846,112",0.15,"4,495,396",0.52,"2,716,989",0.58,"1,090,650",0.63
Utility revenue,"164,479,007",0.40,"3,018,731",4.77,"420,465",0.97,"4,907,949",0.87,"988,730",1.39,"27,722,548",1.75,"2,741,182",2.56,"821,026",1.75,"487,951",0.00,"1,033,925",0.00,"9,523,040",1.82,"4,768,745",2.26,"440,735",0.00,"241,994",2.11,"5,186,013",1.85,"2,770,079",2.89,"1,141,040",3.19,"1,535,194",0.93,"1,808,277",2.13,"1,233,854",1.49,"142,360",5.54,"1,058,050",0.66,"3,862,729",0.81,"2,718,845",1.71,"2,327,734",1.73,"867,726",4.45
     Water supply,"62,205,248",0.61,"884,903",3.10,"113,251",1.08,"1,456,166",1.69,"493,966",2.27,"12,988,719",2.05,"1,428,085",4.69,"332,778",2.80,"88,203",0.00,"174,760",0.00,"4,208,688",2.38,"2,013,847",1.72,"380,177",0.00,"156,286",2.34,"2,938,176",2.66,"911,005",3.73,"535,979",3.75,"667,131",1.92,"804,003",4.51,"499,220",1.72,"117,093",6.73,"788,873",0.85,"1,486,938",1.02,"1,524,301",2.65,"664,003",1.73,"279,179",4.80
     Electric power,"78,970,646",0.66,"1,722,197",8.03,"299,972",1.29,"3,302,914",1.05,"487,986",1.61,"12,224,231",3.29,"974,883",2.15,"418,454",2.60,"378,868",0.00,0,0.00,"4,722,059",2.99,"1,802,736",4.67,0,0.00,"82,352",4.26,"1,152,552",4.84,"1,399,792",5.17,"525,663",5.75,"820,380",0.75,"664,600",1.72,"585,382",2.21,"12,215",1.10,"80,845",2.19,"1,492,477",1.60,"1,108,791",2.09,"1,433,868",2.70,"436,856",7.60
     Gas supply,"6,558,699",1.39,"407,088",7.05,0,0.00,"43,202",6.07,"3,197",14.98,"259,695",13.27,"188,098",0.64,"16,475",0.15,0,0.00,0,0.00,"245,076",3.48,"791,083",7.34,0,0.00,0,0.00,"75,004",6.45,"408,547",1.17,"54,359",4.47,"42,302",2.50,"314,666",1.81,"117,640",8.33,0,0.00,0,0.00,"52,486",0.00,0,0.00,"108,170",0.67,"149,936",9.56
     Transit,"16,744,414",0.27,"4,543",0.17,"7,242",0.00,"105,667",0.65,"3,581",8.98,"2,249,903",1.66,"150,116",1.07,"53,319",2.67,"20,880",0.00,"859,165",0.00,"347,217",0.17,"161,079",0.05,"60,558",0.00,"3,356",17.60,"1,020,281",0.41,"50,735",0.18,"25,039",8.12,"5,381",0.00,"25,008",0.15,"31,612",0.00,"13,052",2.30,"188,332",0.00,"830,828",1.64,"85,753",1.36,"121,693",0.76,"1,755",48.25
Liquor store revenue,"9,240,896",0.25,"325,393",0.00,"6,194",33.88,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"155,416",0.00,0,0.00,0,0.00,"290,651",0.00,0,0.00,0,0.00,0,0.00,33,0.00,"294,594",0.00,0,0.00,"1,021,890",0.00,"317,891",5.08,"337,971",0.00
Insurance trust revenue2,"216,603,410",0.12,"4,603,284",0.05,"420,920",0.00,"3,695,155",0.01,"1,106,778",0.06,"39,996,716",0.08,"3,966,117",0.15,"2,115,298",1.88,"118,672",0.59,"-18,499",0.00,"5,339,609",1.83,"3,698,952",0.84,"498,176",0.00,"1,095,825",0.00,"7,673,749",0.58,"2,471,415",0.13,"2,351,493",0.00,"1,176,935",0.00,"1,739,588",0.05,"2,717,356",0.65,"502,083",0.00,"2,956,791",0.93,"5,506,550",1.03,"9,316,546",0.49,"3,009,396",0.06,"1,588,885",0.00
