F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
                    Motor fuel,"717,178",0.00,"186,083",0.00,"342,004",0.00,"500,719",0.00,"152,086",0.00,"554,473",0.00,"248,781",0.00,"1,612,425",0.00,"1,936,102",0.00,"196,837",0.00,"1,855,699",0.00,"463,962",0.00,"533,863",0.13,"2,971,950",0.00,"90,032",0.00,"574,513",0.00,"189,366",0.00,"897,608",0.00,"3,500,210",0.00,"419,727",0.00,"77,404",0.00,"945,408",0.00,"1,457,933",0.00,"383,920",0.00,"1,043,282",0.00,"115,175",0.00
                    Alcoholic beverage,"36,849",0.00,"31,907",0.00,"30,520",0.00,"45,098",0.00,"12,850",0.00,"138,841",0.02,"39,280",0.00,"325,280",0.00,"447,914",0.28,"9,026",0.00,"112,075",0.01,"120,099",0.00,"18,375",0.00,"410,864",0.00,"20,399",0.00,"174,621",0.03,"17,884",0.10,"383,462",0.88,"1,191,961",0.00,"51,563",0.00,"25,025",0.00,"268,547",0.00,"347,642",0.00,"26,389",0.70,"58,970",0.00,"1,919",0.00
                    Tobacco products,"114,497",0.30,"86,289",0.00,"61,258",0.00,"174,663",0.00,"203,102",0.00,"677,216",0.00,"81,824",0.00,"1,291,927",0.00,"286,286",0.00,"30,757",0.00,"1,029,484",0.00,"316,471",0.00,"270,199",0.00,"962,110",0.00,"144,403",0.00,"28,138",0.00,"70,782",0.00,"263,739",0.00,"1,479,863",0.00,"119,717",0.00,"80,418",0.00,"236,996",0.35,"450,805",0.00,"194,732",0.00,"649,538",0.00,"24,060",0.00
                    Public utilities,"393,713",3.89,"43,995",0.00,"131,970",3.03,"289,105",0.00,"56,704",0.00,"1,036,874",0.23,"83,377",0.65,"1,722,295",0.29,"54,772",0.12,"55,931",0.01,"1,192,792",0.26,"147,181",2.25,"311,064",3.11,"1,326,944",0.00,"103,971",0.00,"95,964",1.31,"12,048",0.39,"124,179",3.11,"1,923,611",1.48,"234,786",2.35,"11,389",0.00,"683,739",1.12,"1,301,227",2.33,"138,004",0.56,"368,724",0.00,"29,734",1.29
                    Other selective sales,"1,142,199",2.03,"223,292",0.12,"105,758",0.06,"1,909,245",0.00,"536,587",0.00,"1,693,547",0.42,"512,344",0.15,"8,649,614",0.06,"1,705,291",0.93,"211,989",0.04,"2,026,330",0.10,"411,670",0.38,"838,242",1.05,"3,833,418",0.07,"361,994",0.15,"776,706",0.69,"203,612",0.03,"1,634,746",1.39,"8,343,186",0.27,"715,600",0.84,"475,605",0.04,"2,292,853",0.91,"2,043,314",0.32,"723,398",0.05,"693,476",0.68,"46,234",1.30
          Individual income,"6,413,681",0.00,"1,181,042",0.00,"2,244,719",0.00,0,0.00,"93,958",0.00,"13,355,992",0.00,"1,043,515",0.00,"58,256,356",0.00,"12,042,957",0.00,"351,125",0.00,"13,413,141",0.70,"3,324,654",0.00,"7,611,760",0.00,"16,915,827",0.57,"1,236,194",0.00,"3,869,342",0.00,0,0.00,"323,952",0.00,0,0.00,"3,374,535",0.00,"729,986",0.00,"12,237,996",0.00,0,0.00,"1,848,866",0.00,"7,486,676",0.00,0,0.00
          Corporate income,"404,453",0.00,"118,969",0.00,"307,672",0.00,0,0.00,"573,653",0.00,"2,229,487",0.00,"89,708",0.00,"10,614,430",0.00,"1,066,511",0.00,"103,069",0.00,"250,187",6.47,"327,783",0.00,"714,581",0.00,"2,916,491",0.00,"144,269",0.00,"408,297",0.00,"33,736",0.00,"1,538,649",0.00,0,0.00,"333,358",0.00,"129,899",0.00,"752,689",0.00,0,0.00,"116,305",0.00,"986,785",0.00,0,0.00
          Motor vehicle license,"306,863",0.55,"152,062",0.06,"201,024",5.74,"196,610",0.00,"102,438",0.00,"642,537",0.00,"254,814",0.15,"1,541,391",0.19,"796,830",0.31,"121,835",0.00,"870,993",0.86,"727,864",0.00,"553,037",0.00,"900,127",0.00,"22,793",0.00,"301,697",0.10,"106,490",0.22,"475,737",1.09,"2,557,081",0.80,"184,384",0.00,"71,659",0.00,"656,840",0.57,"688,021",0.18,"4,431",0.19,"497,087",0.18,"100,950",0.04
          Other taxes,"904,736",1.96,"372,449",0.08,"464,336",0.85,"1,597,409",0.02,"528,959",0.38,"2,556,329",0.52,"1,011,873",0.06,"8,856,444",0.29,"1,603,540",0.42,"1,672,976",0.21,"1,950,824",0.78,"743,449",0.27,"1,510,646",0.70,"4,408,159",0.65,"210,276",1.02,"1,245,235",0.85,"221,333",0.57,"1,696,745",0.32,"4,269,502",0.48,"281,483",0.92,"109,324",0.27,"2,003,861",0.69,"2,929,505",0.60,"821,017",0.47,"976,692",0.35,"708,534",0.23
     Charges and miscellaneous general revenue,"11,800,799",0.93,"1,834,475",0.35,"4,212,832",1.64,"4,598,594",0.33,"2,454,432",0.18,"18,572,501",0.30,"5,243,297",0.11,"52,873,005",0.23,"22,282,283",0.68,"2,187,777",0.40,"25,402,821",0.92,"8,493,827",0.31,"12,528,317",0.49,"25,982,962",0.51,"2,440,699",0.14,"14,506,366",0.20,"1,578,230",0.95,"11,045,466",0.94,"53,756,007",0.34,"7,746,088",1.91,"1,229,088",0.25,"20,950,823",0.27,"19,371,681",0.86,"3,830,941",0.36,"11,961,105",0.60,"2,724,970",0.50
          Current charges,"7,858,706",1.38,"1,120,093",0.44,"3,053,997",2.22,"3,246,367",0.37,"1,450,964",0.23,"11,612,462",0.38,"2,667,809",0.12,"31,598,937",0.37,"17,747,096",0.85,"1,203,383",0.61,"17,451,782",1.31,"5,399,998",0.44,"9,075,217",0.65,"19,355,624",0.66,"1,418,809",0.21,"11,462,602",0.24,"948,639",1.54,"8,025,642",1.26,"36,508,128",0.44,"5,979,135",2.44,"873,653",0.30,"15,204,963",0.32,"14,788,166",1.07,"2,474,616",0.39,"8,194,234",0.85,"1,738,829",0.76
               Education,"2,624,974",0.00,"493,964",0.00,"1,053,075",0.00,"560,616",0.00,"662,575",0.00,"4,039,751",0.01,"695,218",0.00,"4,288,841",0.58,"3,950,211",0.19,"500,947",0.00,"6,187,096",0.00,"2,325,528",0.00,"2,167,358",0.00,"6,874,303",0.06,"493,189",0.00,"2,533,692",0.00,"430,937",0.00,"2,117,009",0.34,"9,916,311",0.02,"1,883,717",0.00,"568,872",0.00,"4,729,012",0.09,"3,257,070",0.00,"918,464",0.00,"2,690,692",0.00,"189,272",0.00
                    Institutions  of higher education,"2,199,334",0.00,"431,832",0.00,"845,375",0.00,"523,555",0.00,"613,144",0.00,"3,273,332",0.00,"637,460",0.00,"3,775,518",0.66,"3,687,898",0.17,"422,141",0.00,"5,151,943",0.00,"2,007,926",0.00,"1,989,759",0.00,"5,918,432",0.07,"426,656",0.00,"2,250,331",0.00,"370,328",0.00,"1,633,340",0.00,"8,735,667",0.00,"1,704,466",0.00,"540,128",0.00,"4,401,489",0.00,"2,902,075",0.00,"874,429",0.00,"2,405,788",0.00,"170,346",0.00
                    School lunch sales (gross),"130,068",0.00,"18,042",0.00,"66,867",0.00,"22,687",0.00,"35,534",0.00,"264,898",0.10,"22,991",0.00,"246,867",0.00,"168,542",2.10,"32,067",0.00,"235,671",0.00,"70,861",0.00,"38,824",0.00,"279,358",0.00,"18,787",0.00,"68,948",0.00,"30,969",0.00,"84,958",2.87,"616,324",0.00,"59,262",0.00,"15,714",0.00,"211,720",1.81,"101,325",0.00,"15,177",0.00,"150,284",0.00,"14,696",0.00
               Hospitals,"2,645,796",3.81,"88,940",0.01,"709,332",7.65,"679,513",0.00,"7,329",0.00,"1,257,058",0.00,"1,114,557",0.02,"10,366,462",0.62,"9,314,541",1.54,"6,225",0.29,"5,010,756",3.27,"1,220,303",0.87,"2,302,201",2.14,"3,780,053",0.04,"4,984",0.00,"6,370,029",0.28,"86,063",0.02,"2,883,446",3.00,"12,084,330",1.01,"2,188,337",6.52,0,0.00,"4,901,087",0.01,"4,114,634",2.52,"389,478",0.02,"1,763,087",1.44,"1,149,968",0.73
               Highways,"33,205",2.44,"27,736",0.12,"34,357",5.69,"7,244",2.36,"162,143",0.02,"2,080,741",0.01,"13,450",0.00,"4,289,018",0.01,"49,122",0.05,"24,159",0.54,"333,109",0.68,"274,804",0.00,"81,424",6.34,"1,251,960",0.17,"46,214",0.00,"86,508",0.00,"10,807",1.41,"2,941",15.76,"1,988,887",1.23,"5,413",12.62,"3,140",4.75,"310,732",0.00,"499,287",0.39,"104,131",0.08,"165,134",2.55,"8,506",0.46
               Air transportation (airports),"339,759",0.40,"34,308",0.27,"65,160",1.61,"559,260",0.00,"47,000",0.00,"24,407",0.81,"76,405",0.00,"2,926,855",0.14,"470,769",0.32,"33,218",1.03,"300,990",4.38,"97,877",1.20,"321,279",0.39,"563,304",6.13,"55,793",0.00,"91,200",3.04,"17,155",0.45,"355,588",5.87,"2,000,330",0.69,"207,946",0.05,"19,050",0.01,"998,352",1.36,"630,174",0.75,"29,671",2.69,"147,333",1.04,"18,580",25.91
               Parking facilities,"31,921",0.02,"6,404",0.00,"19,821",0.00,"6,905",0.00,"15,682",0.00,"143,147",5.10,"8,777",0.00,"300,618",1.31,"47,934",2.65,"3,536",0.22,"48,012",1.16,"17,381",0.00,"76,047",0.92,"348,335",2.27,"1,815",0.00,"43,935",1.05,"3,902",0.00,"14,928",0.30,"39,355",0.04,"7,601",0.00,"7,906",0.05,"65,467",0.64,"67,771",0.00,"9,413",0.44,"73,382",1.65,0,0.00
               Sea and inland port facilities,"1,682",13.80,"1,390",83.17,0,0.00,0,0.00,0,0.00,"31,443",0.50,0,0.00,"314,146",0.04,"39,996",0.00,0,0.00,"26,202",17.19,"7,605",0.88,"87,636",1.22,"13,412",0.59,"1,340",0.00,"211,877",0.03,0,0.00,"2,800",0.00,"485,472",0.42,0,0.00,0,0.00,"440,185",0.01,"501,017",10.53,0,0.00,"9,386",2.77,0,0.00
               Natural resources,"18,560",10.58,"28,740",8.43,"62,869",13.36,"18,348",9.11,"4,945",1.72,"10,819",3.20,"32,553",4.38,"71,252",0.00,"54,446",1.44,"39,395",14.56,"35,910",2.57,"27,456",3.70,"236,839",4.35,"65,643",1.80,"15,623",0.17,"34,500",0.24,"27,282",52.63,"30,047",0.44,"225,137",3.27,"26,606",14.98,"2,646",7.37,"13,611",0.78,"230,931",16.22,"38,816",0.21,"100,473",11.13,"20,107",2.50
               Parks and recreation,"159,705",3.67,"21,512",0.77,"47,686",1.74,"156,848",0.05,"47,233",0.92,"232,446",3.71,"35,166",0.83,"711,827",1.58,"211,667",2.32,"67,268",6.03,"294,253",4.67,"118,961",4.03,"245,975",2.43,"212,128",4.13,"48,184",0.03,"160,979",7.79,"31,888",0.94,"126,017",5.07,"562,000",2.96,"152,277",4.69,"24,362",0.75,"253,369",1.90,"265,452",2.50,"67,075",3.20,"240,556",1.35,"24,871",10.39
               Housing and community development,"52,358",3.99,"10,710",9.60,"48,696",13.92,"28,209",41.79,"41,124",0.11,"238,977",2.25,"15,809",1.77,"1,184,156",0.01,"159,022",3.95,"11,245",8.06,"133,775",10.63,"69,632",12.08,"71,554",11.10,"251,157",7.97,"49,869",4.65,"57,347",9.87,"10,440",7.66,"101,743",6.90,"309,853",3.64,"21,853",5.96,"17,449",2.67,"131,648",0.46,"349,100",3.06,"25,751",7.34,"85,851",4.43,"4,583",0.09
               Sewerage,"1,014,899",2.21,"119,112",2.73,"284,958",1.49,"494,866",0.35,"148,128",1.93,"1,727,349",2.38,"199,706",0.51,"2,914,225",0.82,"1,392,089",2.83,"66,080",0.73,"2,406,272",1.55,"423,068",2.97,"1,130,672",1.68,"2,851,646",4.03,"226,303",0.00,"683,393",1.92,"100,927",1.79,"972,915",3.05,"3,861,835",1.26,"399,651",4.14,"75,670",1.70,"1,619,137",1.25,"2,491,377",3.50,"285,349",2.62,"927,803",1.91,"74,794",3.01
               Solid waste management,"119,933",6.12,"69,820",2.77,"47,935",4.38,"25,447",0.65,"36,316",1.84,"448,370",0.86,"219,530",0.86,"568,430",2.71,"572,748",2.35,"78,437",0.79,"362,699",3.16,"278,167",3.63,"145,935",0.77,"643,683",5.42,"25,269",0.00,"213,993",3.75,"54,969",1.67,"281,838",4.78,"1,491,644",2.36,"195,769",1.47,"26,511",7.72,"432,663",4.25,"782,828",2.88,"48,292",10.04,"243,335",6.28,"75,425",3.61
               Other charges,"815,914",3.85,"217,457",0.52,"680,108",5.69,"709,111",0.15,"278,489",0.56,"1,377,954",0.65,"256,638",0.75,"3,663,107",2.41,"1,484,551",1.00,"372,873",0.39,"2,312,708",6.64,"539,216",1.88,"2,208,297",0.97,"2,500,000",0.67,"450,226",0.43,"975,149",0.42,"174,269",0.70,"1,136,370",2.94,"3,542,974",2.25,"889,965",2.47,"128,047",0.69,"1,309,700",2.83,"1,598,525",2.72,"558,176",0.42,"1,747,202",3.40,"172,723",4.46
          Miscellaneous general revenue,"3,942,093",0.49,"714,382",0.58,"1,158,835",1.23,"1,352,227",0.69,"1,003,468",0.30,"6,960,039",0.51,"2,575,488",0.19,"21,274,068",0.17,"4,535,187",0.37,"984,394",0.49,"7,951,039",0.52,"3,093,829",0.37,"3,453,100",0.46,"6,627,338",0.43,"1,021,890",0.15,"3,043,764",0.33,"629,591",0.52,"3,019,824",0.75,"17,247,879",0.48,"1,766,953",1.42,"355,435",0.45,"5,745,860",0.48,"4,583,515",1.04,"1,356,325",0.74,"3,766,871",0.35,"986,141",0.39
               Interest earnings,"975,169",0.43,"298,567",0.14,"260,237",0.48,"207,389",0.16,"376,350",0.28,"1,279,611",0.47,"959,746",0.26,"4,914,191",0.24,"804,870",0.41,"402,893",0.08,"1,485,975",1.00,"422,353",0.21,"678,551",1.15,"1,466,179",0.41,"371,532",0.01,"465,728",0.26,"232,453",0.10,"425,679",2.42,"4,968,554",0.78,"392,762",0.51,"110,970",0.28,"1,131,873",1.06,"973,172",0.29,"234,911",0.21,"819,453",0.24,"480,743",0.42
               Special assessments,"97,218",4.90,"75,340",5.44,"44,792",18.16,"106,215",0.25,"3,174",10.40,"2,222",14.33,"21,169",9.60,"133,422",6.88,"14,864",9.52,"130,987",1.00,"236,142",4.50,"34,070",13.25,"84,463",9.94,"137,431",6.25,"3,959",0.00,"56,386",5.64,"17,795",5.07,"117,404",7.72,"397,230",6.46,"52,322",30.50,"5,482",6.67,"57,228",3.36,"440,615",9.88,"23,478",41.07,"61,822",4.26,"15,703",17.40
               Sale of property,"47,780",4.30,"13,843",1.40,"10,673",16.77,"40,525",0.19,"6,264",8.32,"72,249",5.25,"14,808",4.69,"164,563",2.63,"177,844",1.72,"13,990",1.10,"57,232",5.85,"33,679",1.79,"72,827",11.21,"105,130",19.02,"5,211",1.14,"48,179",2.00,"14,099",4.65,"44,434",4.35,"377,772",2.90,"52,535",5.86,"2,324",2.89,"51,560",3.28,"210,435",7.26,"5,417",1.08,"73,696",9.62,"10,054",10.04
               Other general revenue,"2,821,926",0.65,"326,632",0.17,"843,133",1.37,"998,098",0.93,"617,680",0.45,"5,605,957",0.62,"1,579,765",0.23,"16,061,892",0.20,"3,537,609",0.45,"436,524",1.06,"6,171,690",0.59,"2,603,727",0.41,"2,617,259",0.29,"4,918,598",0.36,"641,188",0.23,"2,473,471",0.38,"365,244",0.84,"2,432,307",0.73,"11,504,323",0.58,"1,269,334",1.50,"236,659",0.65,"4,505,199",0.55,"2,959,293",0.41,"1,092,519",0.26,"2,811,900",0.38,"479,641",0.30
Utility revenue,"2,622,313",3.13,"140,262",1.94,"4,532,154",0.89,"1,280,119",0.13,"129,480",1.79,"2,244,098",2.10,"624,419",0.23,"15,857,957",0.41,"4,466,316",1.48,"254,774",1.67,"3,094,966",2.12,"1,853,259",3.03,"1,589,994",2.34,"3,039,881",2.77,"240,217",0.65,"3,672,202",0.92,"367,967",0.81,"8,925,781",1.95,"14,133,410",0.98,"1,956,124",1.56,"245,770",3.29,"1,919,401",1.41,"6,806,678",1.11,"245,797",3.38,"2,235,201",1.70,"231,545",2.78
     Water supply,"895,792",7.71,"137,895",1.97,"285,127",2.31,"1,069,311",0.07,"111,655",2.08,"971,330",3.69,"361,809",0.40,"2,621,230",1.92,"1,416,876",2.82,"227,013",1.82,"1,868,200",2.03,"797,282",6.06,"759,539",3.31,"1,472,858",5.35,"208,859",0.74,"880,229",2.51,"140,282",1.50,"1,144,499",5.16,"6,510,030",1.71,"582,462",3.32,"79,753",2.73,"1,247,992",1.67,"1,414,655",4.54,"223,908",3.67,"702,485",1.85,"138,447",4.21
     Electric power,"1,504,105",2.91,489,18.33,"3,957,655",1.01,"118,098",1.27,"12,675",0.00,"167,771",18.30,"194,915",0.03,"6,422,648",0.64,"2,851,413",1.84,"24,230",4.09,"1,045,737",5.08,"1,014,605",2.71,"681,470",3.80,"181,012",15.63,"8,666",0.00,"2,556,419",0.42,"212,184",0.86,"6,547,205",2.41,"7,064,718",1.15,"1,307,706",1.78,"160,439",4.86,"364,781",4.62,"4,880,497",0.74,"10,983",0.00,"1,457,784",2.45,"92,368",2.96
     Gas supply,"138,370",5.23,0,0.00,"282,072",0.94,0,0.00,0,0.00,0,0.00,"49,311",0.26,"11,394",17.95,"133,602",3.30,319,37.66,"49,268",0.32,"33,975",21.57,502,0.00,"704,016",0.01,0,0.00,"217,107",10.44,"14,180",7.55,"1,190,874",3.50,"267,330",2.14,"6,690",57.30,0,0.00,"172,256",0.14,"8,676",76.79,404,0.00,"1,329",3.96,0,0.00
     Transit,"84,046",0.10,"1,878",0.18,"7,300",0.07,"92,710",0.00,"5,150",1.18,"1,104,997",0.00,"18,384",0.11,"6,802,685",0.03,"64,425",3.18,"3,212",0.02,"131,761",5.63,"7,397",0.10,"148,483",5.95,"681,995",1.14,"22,692",0.00,"18,447",16.56,"1,321",0.60,"43,203",0.94,"291,332",1.96,"59,266",0.02,"5,578",0.03,"134,372",2.56,"502,850",2.65,"10,502",12.05,"73,603",0.62,730,0.00
Liquor store revenue,0,0.00,"93,996",0.00,0,0.00,0,0.00,"671,035",0.00,0,0.00,0,0.00,0,0.00,"782,733",2.09,0,0.00,"1,051,438",0.00,0,0.00,"568,119",0.00,"1,937,885",0.00,0,0.00,0,0.00,"21,000",4.63,0,0.00,0,0.00,"361,199",0.00,"61,926",0.00,"737,243",0.00,0,0.00,"92,744",0.00,0,0.00,"111,545",0.00
Insurance trust revenue2,"4,195,735",1.34,"758,349",0.00,"831,860",0.81,"2,855,466",0.00,"661,546",0.00,"4,827,970",0.00,"2,016,644",0.00,"17,937,411",0.00,"4,124,546",0.01,"615,280",0.00,"9,407,989",0.00,"1,032,953",1.51,"4,102,939",0.00,"10,210,048",2.05,"801,835",0.46,"2,189,627",0.00,"288,616",0.00,"2,574,132",0.74,"21,121,369",0.28,"1,363,655",0.00,"311,274",0.00,"5,661,871",0.25,"7,238,988",0.01,"733,309",0.30,"2,382,548",0.00,"709,660",0.00
