,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
32,               Highways,"19,170,989",0.19,"15,497",19.7,"89,536",0.31,"22,030",2.35,"8,131",0.16,"816,510",2.93,"279,970",1.17,"6,863",0.22,"316,399",0,"4,742",0,"1,985,514",0.12,"52,150",0.73,"4,590",0,"37,437",0.98,"1,256,469",0.22,"9,064",7.42,"4,342",3.83,"127,613",0.48,"56,754",0.52,"55,213",0.4,"141,774",0.22,"720,084",0,"974,092",0,"146,099",3.67,"134,913",3.07,"11,031",0,"33,205",2.44,"27,736",0.12,"34,357",5.69,"7,244",2.36,"162,143",0.02,"2,080,741",0.01,"13,450",0,"4,289,018",0.01,"49,122",0.05,"24,159",0.54,"333,109",0.68,"274,804",0,"81,424",6.34,"1,251,960",0.17,"46,214",0,"86,508",0,"10,807",1.41,"2,941",15.76,"1,988,887",1.23,"5,413",12.62,"3,140",4.75,"310,732",0,"499,287",0.39,"104,131",0.08,"165,134",2.55,"8,506",0.46
33,               Air transportation (airports),"22,671,980",0.29,"111,759",3.32,"160,823",0.02,"482,654",0.31,"75,146",3.04,"3,542,889",0.73,"796,430",0.22,"22,621",5.01,"7,075",0,0,0,"2,144,740",1.46,"583,486",0.26,"384,560",0,"41,969",0.42,"1,315,135",1.44,"216,623",0.58,"70,900",1.63,"42,495",0.33,"202,424",0.46,"160,005",0,"38,121",0.19,"233,738",0,"728,037",0,"507,002",1,"326,404",0.35,"45,181",5.18,"339,759",0.4,"34,308",0.27,"65,160",1.61,"559,260",0,"47,000",0,"24,407",0.81,"76,405",0,"2,926,855",0.14,"470,769",0.32,"33,218",1.03,"300,990",4.38,"97,877",1.2,"321,279",0.39,"563,304",6.13,"55,793",0,"91,200",3.04,"17,155",0.45,"355,588",5.87,"2,000,330",0.69,"207,946",0.05,"19,050",0.01,"998,352",1.36,"630,174",0.75,"29,671",2.69,"147,333",1.04,"18,580",25.91
34,               Parking facilities,"3,106,890",1.52,"10,670",0,"1,341",9.81,"14,538",0.04,"4,058",4.85,"737,238",5.73,"24,776",23.93,"75,643",0.01,"19,135",0,"43,471",0,"220,405",7.3,"17,364",0.67,"10,524",0,291,0,"61,250",5.49,"11,248",3.27,"25,538",0.07,"6,044",0,"31,145",0,"9,419",0,"9,833",1.68,"132,438",0.23,"47,279",4.25,"87,961",1.89,"94,341",0,945,0,"31,921",0.02,"6,404",0,"19,821",0,"6,905",0,"15,682",0,"143,147",5.1,"8,777",0,"300,618",1.31,"47,934",2.65,"3,536",0.22,"48,012",1.16,"17,381",0,"76,047",0.92,"348,335",2.27,"1,815",0,"43,935",1.05,"3,902",0,"14,928",0.3,"39,355",0.04,"7,601",0,"7,906",0.05,"65,467",0.64,"67,771",0,"9,413",0.44,"73,382",1.65,0,0
35,               Sea and inland port facilities,"5,257,423",1.17,"119,690",0,"76,338",1.61,0,0,"4,207",0.75,"1,377,859",1.91,0,0,"1,238",0.32,"38,418",0,0,0,"529,428",0.95,"346,263",0,"119,359",0,976,80.56,"10,851",4.99,"17,396",0.36,12,9.32,0,0,"18,576",81.73,"189,913",0,"4,570",36.5,"56,967",0,"108,973",1.03,"2,801",8.18,"17,613",0.08,"40,386",2.16,"1,682",13.8,"1,390",83.17,0,0,0,0,0,0,"31,443",0.5,0,0,"314,146",0.04,"39,996",0,0,0,"26,202",17.19,"7,605",0.88,"87,636",1.22,"13,412",0.59,"1,340",0,"211,877",0.03,0,0,"2,800",0,"485,472",0.42,0,0,0,0,"440,185",0.01,"501,017",10.53,0,0,"9,386",2.77,0,0
36,               Natural resources,"4,742,114",2.97,"7,045",1.04,"44,469",0,"134,782",19.73,"25,497",0.67,"1,705,119",7.52,"60,976",7.21,"31,412",0.14,"1,489",0,0,0,"513,554",4.83,"55,380",0.51,"19,709",0,"94,253",4.37,"65,729",6.21,"51,384",0.84,"110,485",0.41,"45,467",3.09,"58,809",0.56,"14,003",0.12,"20,999",5.01,"21,702",1.96,"24,076",0.4,"57,333",2.72,"91,714",2.58,"13,174",3.53,"18,560",10.58,"28,740",8.43,"62,869",13.36,"18,348",9.11,"4,945",1.72,"10,819",3.2,"32,553",4.38,"71,252",0,"54,446",1.44,"39,395",14.56,"35,910",2.57,"27,456",3.7,"236,839",4.35,"65,643",1.8,"15,623",0.17,"34,500",0.24,"27,282",52.63,"30,047",0.44,"225,137",3.27,"26,606",14.98,"2,646",7.37,"13,611",0.78,"230,931",16.22,"38,816",0.21,"100,473",11.13,"20,107",2.5
37,               Parks and recreation,"10,960,124",0.84,"141,562",1.16,"17,954",0.77,"177,139",1.03,"73,870",1.28,"1,750,490",2.86,"333,304",9.45,"97,817",0.71,"15,978",0,"30,633",0,"785,311",3.2,"258,469",2.25,"45,106",0,"51,797",1.84,"998,022",5.5,"180,354",1.3,"113,319",1.8,"86,206",0.36,"121,952",0.81,"214,540",0.64,"34,480",2.96,"211,952",0.76,"158,321",3.03,"212,989",2.63,"295,207",1.24,"33,647",4.55,"159,705",3.67,"21,512",0.77,"47,686",1.74,"156,848",0.05,"47,233",0.92,"232,446",3.71,"35,166",0.83,"711,827",1.58,"211,667",2.32,"67,268",6.03,"294,253",4.67,"118,961",4.03,"245,975",2.43,"212,128",4.13,"48,184",0.03,"160,979",7.79,"31,888",0.94,"126,017",5.07,"562,000",2.96,"152,277",4.69,"24,362",0.75,"253,369",1.9,"265,452",2.5,"67,075",3.2,"240,556",1.35,"24,871",10.39
38,               Housing and community development,"6,916,439",1.46,"94,669",2.98,"52,183",0.04,"25,555",4.5,"28,072",7.25,"983,027",8.65,"182,660",11.41,"141,818",6.67,"17,280",0,"27,237",0,"219,973",7.63,"121,629",5.26,"31,764",0,"34,072",4.38,"208,411",2.78,"52,217",5.5,"24,839",4.16,"41,726",10.1,"44,358",3.53,"64,786",3.1,"38,160",6.19,"194,564",0.4,"397,348",5.43,"67,701",5.54,"304,546",4.87,"35,933",6.65,"52,358",3.99,"10,710",9.6,"48,696",13.92,"28,209",41.79,"41,124",0.11,"238,977",2.25,"15,809",1.77,"1,184,156",0.01,"159,022",3.95,"11,245",8.06,"133,775",10.63,"69,632",12.08,"71,554",11.1,"251,157",7.97,"49,869",4.65,"57,347",9.87,"10,440",7.66,"101,743",6.9,"309,853",3.64,"21,853",5.96,"17,449",2.67,"131,648",0.46,"349,100",3.06,"25,751",7.34,"85,851",4.43,"4,583",0.09
39,               Sewerage,"55,905,543",0.57,"533,254",2.66,"106,309",1.34,"915,645",1.88,"307,063",2.13,"7,628,144",2.84,"893,478",6.46,"445,797",0.71,"164,753",0,"299,665",0,"3,440,019",2.71,"1,618,875",1.88,"487,551",0,"250,289",3.1,"1,540,574",4.54,"1,719,120",2.79,"596,087",1.77,"443,321",0.35,"640,943",2.05,"462,762",1.48,"172,899",4.99,"1,285,508",0.82,"1,722,991",0.61,"1,957,071",1.71,"1,107,393",3.71,"273,808",5.2,"1,014,899",2.21,"119,112",2.73,"284,958",1.49,"494,866",0.35,"148,128",1.93,"1,727,349",2.38,"199,706",0.51,"2,914,225",0.82,"1,392,089",2.83,"66,080",0.73,"2,406,272",1.55,"423,068",2.97,"1,130,672",1.68,"2,851,646",4.03,"226,303",0,"683,393",1.92,"100,927",1.79,"972,915",3.05,"3,861,835",1.26,"399,651",4.14,"75,670",1.7,"1,619,137",1.25,"2,491,377",3.5,"285,349",2.62,"927,803",1.91,"74,794",3.01
40,               Solid waste management,"17,744,970",0.77,"224,662",3.63,"85,409",0.96,"465,378",1.47,"185,374",3.1,"3,020,720",3.55,"120,120",2.74,"169,514",1.94,"82,733",0,"4,688",0,"2,298,380",1.67,"614,506",2.9,"159,822",0,"165,332",1.31,"316,676",4.27,"141,664",6.67,"271,709",2.13,"159,907",4.29,"126,154",4.17,"218,806",1.44,"53,577",3.77,"489,816",0.45,"140,262",2.76,"266,979",3.14,"318,374",3.42,"154,422",6.8,"119,933",6.12,"69,820",2.77,"47,935",4.38,"25,447",0.65,"36,316",1.84,"448,370",0.86,"219,530",0.86,"568,430",2.71,"572,748",2.35,"78,437",0.79,"362,699",3.16,"278,167",3.63,"145,935",0.77,"643,683",5.42,"25,269",0,"213,993",3.75,"54,969",1.67,"281,838",4.78,"1,491,644",2.36,"195,769",1.47,"26,511",7.72,"432,663",4.25,"782,828",2.88,"48,292",10.04,"243,335",6.28,"75,425",3.61
41,               Other charges,"75,116,363",0.7,"491,370",5.51,"335,419",1.54,"946,682",2.71,"465,206",1.43,"20,909,086",2.16,"1,221,016",2.96,"561,714",0.79,"136,632",0,"200,274",0,"6,119,136",0.89,"1,586,474",3.3,"168,191",0,"505,698",0.36,"1,651,087",2.26,"335,760",7.44,"372,994",1.74,"553,116",1.7,"585,543",1.21,"726,140",0.28,"412,485",1,"1,139,820",0.26,"1,079,972",0.72,"2,942,068",3.84,"1,243,042",3.28,"327,689",3.25,"815,914",3.85,"217,457",0.52,"680,108",5.69,"709,111",0.15,"278,489",0.56,"1,377,954",0.65,"256,638",0.75,"3,663,107",2.41,"1,484,551",1,"372,873",0.39,"2,312,708",6.64,"539,216",1.88,"2,208,297",0.97,"2,500,000",0.67,"450,226",0.43,"975,149",0.42,"174,269",0.7,"1,136,370",2.94,"3,542,974",2.25,"889,965",2.47,"128,047",0.69,"1,309,700",2.83,"1,598,525",2.72,"558,176",0.42,"1,747,202",3.4,"172,723",4.46
42,          Miscellaneous general revenue,"218,096,963",0.15,"2,082,426",1.01,"3,235,837",0.06,"3,593,547",0.35,"1,498,179",0.71,"22,675,688",0.93,"3,828,207",1.41,"2,107,372",0.31,"1,429,190",0,"910,877",0,"16,668,593",1.07,"4,030,518",0.54,"1,425,369",0,"767,546",0.46,"7,438,573",0.48,"3,444,954",0.61,"3,950,468",0.38,"2,249,489",0.65,"1,775,300",0.28,"3,619,541",0.32,"598,234",1.36,"3,838,179",0.17,"6,159,427",0.13,"6,199,606",0.53,"4,141,985",0.57,"1,278,323",0.7,"3,942,093",0.49,"714,382",0.58,"1,158,835",1.23,"1,352,227",0.69,"1,003,468",0.3,"6,960,039",0.51,"2,575,488",0.19,"21,274,068",0.17,"4,535,187",0.37,"984,394",0.49,"7,951,039",0.52,"3,093,829",0.37,"3,453,100",0.46,"6,627,338",0.43,"1,021,890",0.15,"3,043,764",0.33,"629,591",0.52,"3,019,824",0.75,"17,247,879",0.48,"1,766,953",1.42,"355,435",0.45,"5,745,860",0.48,"4,583,515",1.04,"1,356,325",0.74,"3,766,871",0.35,"986,141",0.39
43,               Interest earnings,"47,428,903",0.19,"313,206",2.13,"745,056",0.12,"973,252",0.35,"246,882",3.38,"4,732,384",1.43,"959,139",1.59,"683,972",0.12,"113,233",0,"61,020",0,"1,750,290",0.59,"484,411",0.91,"98,700",0,"180,781",0.21,"1,840,765",0.39,"1,128,561",0.19,"1,868,847",0.13,"406,590",0.9,"535,460",0.2,"688,706",0.21,"167,730",1.08,"611,571",0.04,"1,217,101",0.09,"1,427,284",1.02,"906,860",1.33,"147,191",2.68,"975,169",0.43,"298,567",0.14,"260,237",0.48,"207,389",0.16,"376,350",0.28,"1,279,611",0.47,"959,746",0.26,"4,914,191",0.24,"804,870",0.41,"402,893",0.08,"1,485,975",1,"422,353",0.21,"678,551",1.15,"1,466,179",0.41,"371,532",0.01,"465,728",0.26,"232,453",0.1,"425,679",2.42,"4,968,554",0.78,"392,762",0.51,"110,970",0.28,"1,131,873",1.06,"973,172",0.29,"234,911",0.21,"819,453",0.24,"480,743",0.42
44,               Special assessments,"8,781,200",2.4,"29,311",2.94,"9,199",1.11,"51,545",10.54,"22,968",11.81,"1,663,429",6.2,"312,414",10.14,"35,809",5.35,"26,236",0,0,0,"2,863,472",5.92,"45,242",3.72,"33,736",0,"31,112",5.96,"405,287",0.17,"16,781",9.78,"21,157",19.43,"120,959",2.3,"10,686",20.87,"11,608",4.05,"7,041",12.97,"31,093",0.58,"11,952",23.52,"210,368",8.46,"430,499",2.94,"8,363",37.38,"97,218",4.9,"75,340",5.44,"44,792",18.16,"106,215",0.25,"3,174",10.4,"2,222",14.33,"21,169",9.6,"133,422",6.88,"14,864",9.52,"130,987",1,"236,142",4.5,"34,070",13.25,"84,463",9.94,"137,431",6.25,"3,959",0,"56,386",5.64,"17,795",5.07,"117,404",7.72,"397,230",6.46,"52,322",30.5,"5,482",6.67,"57,228",3.36,"440,615",9.88,"23,478",41.07,"61,822",4.26,"15,703",17.4
45,               Sale of property,"4,115,075",1.12,"82,076",9.78,"383,413",0.02,"145,909",0.55,"23,385",13.31,"762,702",3.39,"100,946",15.92,"18,826",3.19,"2,750",0,"1,525",0,"201,581",4.83,"68,234",9.99,"1,646",0,"58,019",1.07,"11,521",1.02,"75,724",3.06,"36,120",3.41,"38,644",4.94,"59,671",3.35,"16,715",1.86,"8,095",5.86,"19,874",1.55,"84,262",0.82,"66,558",2.59,"87,637",1.86,"32,119",8.38,"47,780",4.3,"13,843",1.4,"10,673",16.77,"40,525",0.19,"6,264",8.32,"72,249",5.25,"14,808",4.69,"164,563",2.63,"177,844",1.72,"13,990",1.1,"57,232",5.85,"33,679",1.79,"72,827",11.21,"105,130",19.02,"5,211",1.14,"48,179",2,"14,099",4.65,"44,434",4.35,"377,772",2.9,"52,535",5.86,"2,324",2.89,"51,560",3.28,"210,435",7.26,"5,417",1.08,"73,696",9.62,"10,054",10.04
46,               Other general revenue,"157,771,785",0.14,"1,657,833",1.1,"2,098,169",0.08,"2,422,841",0.44,"1,204,944",0.44,"15,517,173",1.09,"2,455,708",1.54,"1,368,765",0.45,"1,286,971",0,"848,332",0,"11,853,250",0.46,"3,432,631",0.58,"1,291,287",0,"497,634",0.59,"5,181,000",0.67,"2,223,888",0.94,"2,024,344",0.7,"1,683,296",0.82,"1,169,483",0.32,"2,902,512",0.4,"415,368",1.9,"3,175,641",0.2,"4,846,112",0.15,"4,495,396",0.52,"2,716,989",0.58,"1,090,650",0.63,"2,821,926",0.65,"326,632",0.17,"843,133",1.37,"998,098",0.93,"617,680",0.45,"5,605,957",0.62,"1,579,765",0.23,"16,061,892",0.2,"3,537,609",0.45,"436,524",1.06,"6,171,690",0.59,"2,603,727",0.41,"2,617,259",0.29,"4,918,598",0.36,"641,188",0.23,"2,473,471",0.38,"365,244",0.84,"2,432,307",0.73,"11,504,323",0.58,"1,269,334",1.5,"236,659",0.65,"4,505,199",0.55,"2,959,293",0.41,"1,092,519",0.26,"2,811,900",0.38,"479,641",0.3
47,Utility revenue,"164,479,007",0.4,"3,018,731",4.77,"420,465",0.97,"4,907,949",0.87,"988,730",1.39,"27,722,548",1.75,"2,741,182",2.56,"821,026",1.75,"487,951",0,"1,033,925",0,"9,523,040",1.82,"4,768,745",2.26,"440,735",0,"241,994",2.11,"5,186,013",1.85,"2,770,079",2.89,"1,141,040",3.19,"1,535,194",0.93,"1,808,277",2.13,"1,233,854",1.49,"142,360",5.54,"1,058,050",0.66,"3,862,729",0.81,"2,718,845",1.71,"2,327,734",1.73,"867,726",4.45,"2,622,313",3.13,"140,262",1.94,"4,532,154",0.89,"1,280,119",0.13,"129,480",1.79,"2,244,098",2.1,"624,419",0.23,"15,857,957",0.41,"4,466,316",1.48,"254,774",1.67,"3,094,966",2.12,"1,853,259",3.03,"1,589,994",2.34,"3,039,881",2.77,"240,217",0.65,"3,672,202",0.92,"367,967",0.81,"8,925,781",1.95,"14,133,410",0.98,"1,956,124",1.56,"245,770",3.29,"1,919,401",1.41,"6,806,678",1.11,"245,797",3.38,"2,235,201",1.7,"231,545",2.78
48,     Water supply,"62,205,248",0.61,"884,903",3.1,"113,251",1.08,"1,456,166",1.69,"493,966",2.27,"12,988,719",2.05,"1,428,085",4.69,"332,778",2.8,"88,203",0,"174,760",0,"4,208,688",2.38,"2,013,847",1.72,"380,177",0,"156,286",2.34,"2,938,176",2.66,"911,005",3.73,"535,979",3.75,"667,131",1.92,"804,003",4.51,"499,220",1.72,"117,093",6.73,"788,873",0.85,"1,486,938",1.02,"1,524,301",2.65,"664,003",1.73,"279,179",4.8,"895,792",7.71,"137,895",1.97,"285,127",2.31,"1,069,311",0.07,"111,655",2.08,"971,330",3.69,"361,809",0.4,"2,621,230",1.92,"1,416,876",2.82,"227,013",1.82,"1,868,200",2.03,"797,282",6.06,"759,539",3.31,"1,472,858",5.35,"208,859",0.74,"880,229",2.51,"140,282",1.5,"1,144,499",5.16,"6,510,030",1.71,"582,462",3.32,"79,753",2.73,"1,247,992",1.67,"1,414,655",4.54,"223,908",3.67,"702,485",1.85,"138,447",4.21
49,     Electric power,"78,970,646",0.66,"1,722,197",8.03,"299,972",1.29,"3,302,914",1.05,"487,986",1.61,"12,224,231",3.29,"974,883",2.15,"418,454",2.6,"378,868",0,0,0,"4,722,059",2.99,"1,802,736",4.67,0,0,"82,352",4.26,"1,152,552",4.84,"1,399,792",5.17,"525,663",5.75,"820,380",0.75,"664,600",1.72,"585,382",2.21,"12,215",1.1,"80,845",2.19,"1,492,477",1.6,"1,108,791",2.09,"1,433,868",2.7,"436,856",7.6,"1,504,105",2.91,489,18.33,"3,957,655",1.01,"118,098",1.27,"12,675",0,"167,771",18.3,"194,915",0.03,"6,422,648",0.64,"2,851,413",1.84,"24,230",4.09,"1,045,737",5.08,"1,014,605",2.71,"681,470",3.8,"181,012",15.63,"8,666",0,"2,556,419",0.42,"212,184",0.86,"6,547,205",2.41,"7,064,718",1.15,"1,307,706",1.78,"160,439",4.86,"364,781",4.62,"4,880,497",0.74,"10,983",0,"1,457,784",2.45,"92,368",2.96
50,     Gas supply,"6,558,699",1.39,"407,088",7.05,0,0,"43,202",6.07,"3,197",14.98,"259,695",13.27,"188,098",0.64,"16,475",0.15,0,0,0,0,"245,076",3.48,"791,083",7.34,0,0,0,0,"75,004",6.45,"408,547",1.17,"54,359",4.47,"42,302",2.5,"314,666",1.81,"117,640",8.33,0,0,0,0,"52,486",0,0,0,"108,170",0.67,"149,936",9.56,"138,370",5.23,0,0,"282,072",0.94,0,0,0,0,0,0,"49,311",0.26,"11,394",17.95,"133,602",3.3,319,37.66,"49,268",0.32,"33,975",21.57,502,0,"704,016",0.01,0,0,"217,107",10.44,"14,180",7.55,"1,190,874",3.5,"267,330",2.14,"6,690",57.3,0,0,"172,256",0.14,"8,676",76.79,404,0,"1,329",3.96,0,0
51,     Transit,"16,744,414",0.27,"4,543",0.17,"7,242",0,"105,667",0.65,"3,581",8.98,"2,249,903",1.66,"150,116",1.07,"53,319",2.67,"20,880",0,"859,165",0,"347,217",0.17,"161,079",0.05,"60,558",0,"3,356",17.6,"1,020,281",0.41,"50,735",0.18,"25,039",8.12,"5,381",0,"25,008",0.15,"31,612",0,"13,052",2.3,"188,332",0,"830,828",1.64,"85,753",1.36,"121,693",0.76,"1,755",48.25,"84,046",0.1,"1,878",0.18,"7,300",0.07,"92,710",0,"5,150",1.18,"1,104,997",0,"18,384",0.11,"6,802,685",0.03,"64,425",3.18,"3,212",0.02,"131,761",5.63,"7,397",0.1,"148,483",5.95,"681,995",1.14,"22,692",0,"18,447",16.56,"1,321",0.6,"43,203",0.94,"291,332",1.96,"59,266",0.02,"5,578",0.03,"134,372",2.56,"502,850",2.65,"10,502",12.05,"73,603",0.62,730,0
52,Liquor store revenue,"9,240,896",0.25,"325,393",0,"6,194",33.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"155,416",0,0,0,0,0,"290,651",0,0,0,0,0,0,0,33,0,"294,594",0,0,0,"1,021,890",0,"317,891",5.08,"337,971",0,0,0,"93,996",0,0,0,0,0,"671,035",0,0,0,0,0,0,0,"782,733",2.09,0,0,"1,051,438",0,0,0,"568,119",0,"1,937,885",0,0,0,0,0,"21,000",4.63,0,0,0,0,"361,199",0,"61,926",0,"737,243",0,0,0,"92,744",0,0,0,"111,545",0
53,Insurance trust revenue2,"216,603,410",0.12,"4,603,284",0.05,"420,920",0,"3,695,155",0.01,"1,106,778",0.06,"39,996,716",0.08,"3,966,117",0.15,"2,115,298",1.88,"118,672",0.59,"-18,499",0,"5,339,609",1.83,"3,698,952",0.84,"498,176",0,"1,095,825",0,"7,673,749",0.58,"2,471,415",0.13,"2,351,493",0,"1,176,935",0,"1,739,588",0.05,"2,717,356",0.65,"502,083",0,"2,956,791",0.93,"5,506,550",1.03,"9,316,546",0.49,"3,009,396",0.06,"1,588,885",0,"4,195,735",1.34,"758,349",0,"831,860",0.81,"2,855,466",0,"661,546",0,"4,827,970",0,"2,016,644",0,"17,937,411",0,"4,124,546",0.01,"615,280",0,"9,407,989",0,"1,032,953",1.51,"4,102,939",0,"10,210,048",2.05,"801,835",0.46,"2,189,627",0,"288,616",0,"2,574,132",0.74,"21,121,369",0.28,"1,363,655",0,"311,274",0,"5,661,871",0.25,"7,238,988",0.01,"733,309",0.3,"2,382,548",0,"709,660",0
54,     Unemployment compensation,"43,111,488",0,"293,843",0,"183,523",0,"485,137",0,"323,453",0,"6,222,524",0,"681,408",0,"816,878",0,"131,251",0,"166,387",0,"1,114,421",0,"799,864",0,"203,518",0,"158,151",0,"2,294,666",0,"900,898",0,"433,176",0,"350,403",0,"541,734",0,"241,953",0,"149,665",0,"665,379",0,"1,453,428",0,"1,415,220",0,"873,079",0,"162,074",0,"601,224",0,"121,980",0,"110,530",0,"569,950",0,"86,481",0,"2,755,868",0,"353,715",0,"3,352,482",0,"1,513,388",0,"123,158",0,"1,104,639",0,"247,287",0,"1,043,810",0,"3,149,211",0,"280,910",0,"421,217",0,"41,009",0,"346,881",0,"2,197,021",0,"259,320",0,"149,278",0,"620,561",0,"1,360,321",0,"198,359",0,"968,261",0,"72,594",0
55,     Employee retirement,"149,385,595",0.18,"4,309,441",0.05,"232,244",0,"3,210,018",0.01,"765,995",0.09,"24,986,261",0.13,"2,622,514",0.22,"1,258,513",3.16,"-20,790",-3.39,"-184,886",0,"4,089,167",2.39,"2,804,634",1.1,"294,658",0,"730,498",0,"5,369,597",0.83,"1,564,250",0.2,"1,907,637",0,"826,532",0,"941,535",0.1,"2,251,209",0.79,"341,457",0,"1,844,520",1.49,"3,652,153",1.55,"7,886,022",0.58,"2,056,043",0.08,"1,421,012",0,"3,488,356",1.62,"558,670",0,"721,250",0.94,"2,285,516",0,"575,065",0,"1,325,534",0,"1,632,516",0,"11,456,109",0,"2,611,158",0.01,"292,146",0,"6,161,559",0,"785,666",1.98,"2,393,503",0,"6,841,939",3.06,"315,336",1.16,"1,687,606",0,"244,076",0,"2,227,251",0.85,"17,602,324",0.34,"800,790",0,"161,996",0,"5,038,416",0.28,"2,938,197",0.03,"409,110",0.54,"1,408,148",0,"263,124",0
56,     Workers' compensation,"16,392,634",0,0,0,"5,153",0,0,0,"17,330",0,"2,398,281",0,"659,790",0,"39,907",0,"8,211",0,0,0,"136,021",0,0,0,0,0,"207,176",0,"9,337",0,"6,267",0,"10,680",0,0,0,"256,319",0,"65,578",0,"10,961",0,"353,595",0,"90,945",0,"15,304",0,"80,274",0,"5,799",0,"106,155",0,"77,699",0,80,0,0,0,0,0,"268,100",0,"30,413",0,"3,128,820",0,0,0,"199,976",0,"2,141,791",0,0,0,"665,626",0,"218,898",0,"18,959",0,"80,804",0,"3,531",0,0,0,"1,322,024",0,"303,545",0,0,0,"2,894",0,"2,940,470",0,"125,840",0,"6,139",0,"373,942",0
57,     Other insurance trust revenue,"7,713,693",0,0,0,0,0,0,0,0,0,"6,389,650",0,"2,405",0,0,0,0,0,0,0,0,0,"94,454",0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,"158,616",0,0,0,"93,297",0,"310,024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"478,468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"186,630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,           Expenditure1,"3,532,824,918",0.05,"47,285,873",0.31,"15,839,199",0.15,"56,101,988",0.16,"26,782,688",0.18,"550,055,846",0.19,"57,851,779",0.41,"41,772,915",0.47,"11,268,907",0.02,"16,593,661",0,"167,777,134",0.22,"82,044,149",0.27,"16,353,645",0,"12,475,868",0.25,"140,191,518",0.27,"57,689,862",0.26,"34,587,426",0.31,"28,812,393",0.33,"45,493,880",0.13,"46,766,439",0.08,"12,565,962",0.26,"67,445,701",0.25,"90,082,479",0.17,"96,459,823",0.3,"65,181,889",0.24,"29,656,273",0.2,"54,096,918",0.31,"9,931,269",0.16,"22,799,753",0.36,"24,326,916",0.57,"12,251,373",0.12,"109,938,633",0.22,"25,010,518",0.05,"331,888,077",0.08,"90,475,427",0.27,"10,702,895",0.16,"125,102,865",0.25,"34,390,672",0.25,"51,888,207",0.19,"143,821,089",0.21,"12,529,527",0.11,"47,427,647",0.18,"7,968,349",0.24,"57,765,304",0.44,"251,601,569",0.14,"28,056,194",0.54,"7,979,012",0.18,"80,899,053",0.33,"86,684,449",0.27,"18,367,067",0.16,"59,452,835",0.22,"10,332,003",0.3
59,By character and object:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,     Intergovernmental expenditure1,"3,205,882",0,0,0,0,0,0,0,195,0,"2,811,529",0,"4,781",0,0,0,252,0,0,0,0,0,0,0,382,0,0,0,"4,254",0,"3,289",0,0,0,723,0,0,0,0,0,0,0,0,0,"3,785",0,"8,025",0,145,0,0,0,"42,346",0,0,0,"43,415",0,"5,582",0,0,0,"13,000",0,0,0,0,0,0,0,0,0,"52,645",0,"39,887",0,0,0,"127,805",0,"18,459",0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,"4,483",0,0,0,0,0,"20,475",0
61,     Direct expenditure,"3,529,619,036",0.05,"47,285,873",0.31,"15,839,199",0.15,"56,101,988",0.16,"26,782,493",0.18,"547,244,317",0.19,"57,846,998",0.41,"41,772,915",0.47,"11,268,655",0.02,"16,593,661",0,"167,777,134",0.22,"82,044,149",0.27,"16,353,263",0,"12,475,868",0.25,"140,187,264",0.27,"57,686,573",0.26,"34,587,426",0.31,"28,811,670",0.33,"45,493,880",0.13,"46,766,439",0.08,"12,565,962",0.26,"67,445,701",0.25,"90,078,694",0.17,"96,451,798",0.3,"65,181,744",0.24,"29,656,273",0.2,"54,054,572",0.31,"9,931,269",0.16,"22,756,338",0.36,"24,321,334",0.57,"12,251,373",0.12,"109,925,633",0.22,"25,010,518",0.05,"331,888,077",0.08,"90,475,427",0.27,"10,702,895",0.16,"125,050,220",0.25,"34,350,785",0.26,"51,888,207",0.19,"143,693,284",0.21,"12,511,068",0.11,"47,427,647",0.18,"7,968,349",0.24,"57,765,304",0.44,"251,601,569",0.14,"28,056,194",0.54,"7,979,012",0.18,"80,898,628",0.33,"86,679,966",0.27,"18,367,067",0.16,"59,452,835",0.22,"10,311,528",0.3
