,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
56,     Workers' compensation,"16,667,383",0,"4,654",0,"19,516","2,140,394","673,635","36,246","8,914",0,"235,921",0,0,"234,554","48,699","6,038",0,"2,653","263,967","71,952","10,961","27,609","92,323","15,304","74,431","5,119","102,820","219,736",52,0,0,"236,871","30,413","3,058,516",0,"210,792","1,935,642",0,"716,276","245,924","19,243","76,120",6,0,"1,289,762","16,568",0,"3,130","4,139,307","112,843","9,040","271,432"
57,     Other insurance trust revenue,"8,967,811",0,0,0,0,"7,457,819","1,685",0,0,0,0,"105,941",0,0,152,0,0,0,0,"155,218",0,"96,219","440,402",0,0,0,0,0,0,0,0,"518,095",0,0,0,0,0,0,0,0,"192,280",0,0,0,0,0,0,0,0,0,0,0
58,           Expenditure1,"3,823,425,295","48,289,663","16,481,773","62,744,911","27,693,937","604,272,325","64,533,393","41,621,427","12,200,640","18,960,588","187,921,514","89,142,467","17,777,830","14,088,385","152,866,444","61,723,054","36,082,809","30,597,127","46,113,954","49,834,044","13,383,273","72,291,333","96,112,512","103,376,962","72,445,023","30,168,144","56,629,433","11,070,672","23,402,287","27,730,054","12,974,631","115,238,770","25,219,410","367,414,285","95,874,876","10,141,490","132,090,281","35,201,386","56,243,990","152,764,901","13,235,676","51,709,390","8,176,381","62,895,253","280,239,233","32,470,400","8,135,900","86,536,936","96,380,824","18,189,330","62,606,537","10,129,438"
59,By character and object:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,     Intergovernmental expenditure1,"3,226,297",0,0,0,189,"2,931,228","1,987",0,"1,406",0,0,0,382,0,"15,375","1,155",0,42,0,0,0,0,0,"1,615","1,766",0,"16,788",0,0,"3,790",0,"12,500",0,0,0,0,"16,451","44,907",0,"123,051","19,907",0,0,0,0,3,0,135,0,0,0,"33,620"
61,     Direct expenditure,"3,820,198,998","48,289,663","16,481,773","62,744,911","27,693,748","601,341,097","64,531,406","41,621,427","12,199,234","18,960,588","187,921,514","89,142,467","17,777,448","14,088,385","152,851,069","61,721,899","36,082,809","30,597,085","46,113,954","49,834,044","13,383,273","72,291,333","96,112,512","103,375,347","72,443,257","30,168,144","56,612,645","11,070,672","23,402,287","27,726,264","12,974,631","115,226,270","25,219,410","367,414,285","95,874,876","10,141,490","132,073,830","35,156,479","56,243,990","152,641,850","13,215,769","51,709,390","8,176,381","62,895,253","280,239,233","32,470,397","8,135,900","86,536,801","96,380,824","18,189,330","62,606,537","10,095,818"
62,          Current operations,"2,876,604,083","37,616,577","12,512,333","47,439,815","21,620,153","449,858,638","46,753,702","29,480,607","9,545,577","12,935,854","147,479,181","67,860,262","13,109,590","11,053,173","108,086,153","49,110,037","27,861,561","24,092,049","34,632,829","38,169,292","10,919,549","55,678,075","73,935,675","81,071,971","54,656,121","23,991,777","44,007,107","8,526,893","18,234,991","19,966,141","10,634,953","89,395,881","19,773,717","269,422,746","75,388,392","7,241,411","97,785,467","26,127,392","42,999,542","114,090,017","10,131,304","39,538,036","5,987,734","50,115,541","200,204,375","24,185,231","6,765,883","66,725,927","70,815,069","14,196,707","46,991,017","7,882,061"
63,          Capital outlay,"390,988,818","4,732,874","2,029,088","6,177,919","2,849,306","49,863,678","8,158,241","3,736,293","1,192,763","3,903,722","20,471,326","9,380,172","2,582,315","1,439,730","13,197,364","6,175,066","4,270,154","3,364,197","4,133,940","4,542,819","944,867","6,706,301","8,601,935","7,479,018","8,568,997","2,340,618","4,435,656","1,140,210","3,276,974","3,307,535","815,015","6,835,712","2,062,052","38,525,719","10,202,253","1,842,911","11,603,863","4,903,515","5,155,143","15,375,752","792,144","5,416,099","1,181,834","5,950,156","43,964,667","4,919,208","601,682","9,573,797","12,724,983","1,338,039","6,931,144","1,270,049"
64,               Construction,"313,205,764","3,815,618","1,690,065","5,098,106","2,367,017","39,065,820","6,579,833","3,233,693","989,470","2,882,393","15,853,551","7,673,985","1,677,978","1,103,153","10,066,157","4,519,765","3,657,672","2,715,046","3,253,553","3,702,250","786,343","5,644,553","6,340,337","4,953,922","5,765,894","1,817,814","3,452,634","942,276","2,624,312","2,766,168","649,324","5,827,372","1,675,771","32,663,524","8,089,491","1,611,686","9,788,699","3,781,696","4,530,686","12,350,748","646,989","4,396,164","1,038,753","4,350,324","36,751,915","3,771,401","483,229","7,960,411","9,799,370","1,078,778","5,852,322","1,067,733"
65,               Other capital outlay,"77,783,054","917,257","339,023","1,079,813","482,289","10,797,858","1,578,407","502,600","203,293","1,021,329","4,617,775","1,706,187","904,337","336,578","3,131,207","1,655,301","612,482","649,151","880,388","840,569","158,525","1,061,747","2,261,598","2,525,096","2,803,104","522,804","983,022","197,934","652,662","541,367","165,691","1,008,340","386,281","5,862,196","2,112,762","231,225","1,815,164","1,121,819","624,457","3,025,004","145,155","1,019,935","143,081","1,599,832","7,212,752","1,147,807","118,453","1,613,386","2,925,614","259,261","1,078,823","202,316"
66,          Assistance and subsidies,"63,294,672","937,541","156,646","2,627,005","479,449","12,555,424","922,656","506,486","351,317","879,178","2,361,592","1,349,426","139,444","171,121","1,618,723","1,420,605","623,584","215,364","1,150,992","709,848","175,533","1,558,242","1,040,193","1,571,332","1,525,295","403,888","621,873","87,500","190,714","574,921","239,326","1,755,848","238,818","4,678,193","1,841,292","126,052","1,798,438","623,195","524,840","3,067,153","175,387","1,244,239","155,424","1,394,590","3,589,832","811,121","179,302","1,302,144","1,252,969","318,689","1,011,977","39,950"
67,          Interest on debt,"126,993,630","1,147,016","342,279","1,577,391","586,820","21,070,389","2,475,321","2,058,412","293,246","682,136","4,580,119","2,410,939","360,138","239,710","8,445,501","2,003,824","620,770","866,645","1,469,292","1,368,650","289,407","2,205,846","3,511,156","3,333,497","1,786,297","555,837","1,730,652","205,268","506,592","1,122,458","440,452","3,377,961","668,062","17,427,483","2,047,271","263,992","3,341,257","698,378","1,433,584","4,726,364","555,763","1,257,314","222,906","1,837,486","11,522,495","787,774","152,525","2,522,339","3,708,401","701,418","1,388,336","66,465"
68,          Insurance benefits and repayments,"362,317,795","3,855,655","1,441,427","4,922,782","2,158,020","67,992,968","6,221,486","5,839,629","816,331","559,698","13,029,297","8,141,667","1,585,961","1,184,651","21,503,328","3,012,367","2,706,740","2,058,830","4,726,900","5,043,435","1,053,917","6,142,870","9,023,553","9,919,529","5,906,546","2,876,024","5,817,356","1,110,801","1,193,015","2,755,209","844,885","13,860,867","2,476,761","37,360,144","6,395,668","667,124","17,544,805","2,804,000","6,130,882","15,382,565","1,561,172","4,253,702","628,484","3,597,480","20,957,864","1,767,063","436,509","6,412,595","7,879,401","1,634,477","6,284,063","837,294"
69,          Exhibit: Salaries and wages,"997,862,661","14,212,191","3,525,766","15,656,698","7,551,103","152,261,956","18,051,738","12,950,646","2,996,413","4,476,296","46,821,199","25,885,203","4,446,114","4,278,534","39,092,668","15,573,572","10,602,630","9,690,296","11,245,675","12,349,361","3,434,787","20,392,681","23,745,664","25,823,591","18,611,248","8,010,171","14,772,587","2,944,823","6,724,582","7,268,248","3,771,893","34,359,035","6,022,076","88,773,970","29,085,572","2,584,797","32,343,694","9,569,395","13,126,753","34,432,254","3,331,096","13,235,832","2,295,649","16,094,914","79,154,290","8,370,312","2,271,797","25,134,192","27,331,762","4,428,513","16,040,516","2,707,908"
70,Direct expenditure by function,"3,820,198,998","48,289,663","16,481,773","62,744,911","27,693,748","601,341,097","64,531,406","41,621,427","12,199,234","18,960,588","187,921,514","89,142,467","17,777,448","14,088,385","152,851,069","61,721,899","36,082,809","30,597,085","46,113,954","49,834,044","13,383,273","72,291,333","96,112,512","103,375,347","72,443,257","30,168,144","56,612,645","11,070,672","23,402,287","27,726,264","12,974,631","115,226,270","25,219,410","367,414,285","95,874,876","10,141,490","132,073,830","35,156,479","56,243,990","152,641,850","13,215,769","51,709,390","8,176,381","62,895,253","280,239,233","32,470,397","8,135,900","86,536,801","96,380,824","18,189,330","62,606,537","10,095,818"
71,     Direct general expenditure,"3,210,096,198","41,015,760","14,385,314","51,397,298","24,543,937","488,982,073","53,978,961","34,344,697","10,829,200","14,324,343","162,669,773","74,540,182","15,007,362","12,520,345","123,564,695","56,014,923","31,901,304","26,942,864","39,305,224","43,424,998","12,019,777","62,298,524","80,212,515","88,714,456","62,676,562","26,149,870","47,930,695","9,633,457","17,838,332","23,439,179","11,407,548","97,504,744","21,877,426","297,095,892","83,942,663","9,127,696","109,450,478","29,510,015","47,193,272","130,200,358","11,309,141","43,929,826","7,189,723","49,315,338","241,508,302","27,985,181","7,360,461","76,084,735","78,601,959","16,124,918","53,911,673","8,858,228"
72,          Capital outlay,"335,338,567","4,315,578","1,890,441","4,476,319","2,671,971","39,630,947","6,928,922","3,462,463","1,137,440","1,806,191","18,234,994","8,195,841","1,978,704","1,383,862","11,644,661","5,872,742","4,060,628","3,044,537","3,800,170","4,400,186","910,189","5,739,613","6,393,344","6,808,721","7,887,645","2,232,093","4,110,352","1,048,940","2,447,922","2,980,171","780,779","6,148,207","1,857,211","29,641,342","9,254,515","1,754,247","10,856,515","3,661,951","4,517,959","14,084,320","714,399","4,741,825","1,126,673","4,919,749","39,630,655","4,423,321","568,930","8,381,713","9,549,840","1,233,036","6,826,248","1,169,545"
73,          Other direct general expenditure,"2,874,757,631","36,700,182","12,494,873","46,920,979","21,871,967","449,351,127","47,050,039","30,882,234","9,691,760","12,518,152","144,434,779","66,344,341","13,028,658","11,136,484","111,920,034","50,142,182","27,840,677","23,898,328","35,505,054","39,024,812","11,109,588","56,558,912","73,819,171","81,905,735","54,788,917","23,917,777","43,820,343","8,584,516","15,390,410","20,459,008","10,626,769","91,356,537","20,020,216","267,454,550","74,688,148","7,373,449","98,593,963","25,848,064","42,675,312","116,116,038","10,594,743","39,188,000","6,063,050","44,395,589","201,877,647","23,561,860","6,791,531","67,703,023","69,052,118","14,891,882","47,085,424","7,688,682"
74,     Education services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,               Education,"1,048,329,000","14,660,310","3,179,142","17,355,915","8,678,948","140,270,623","18,696,390","13,510,317","3,960,424","3,041,661","44,793,383","29,489,842","3,658,214","3,840,068","38,605,466","18,549,527","11,049,993","9,968,135","12,922,263","12,201,711","3,685,952","21,320,702","23,383,271","32,345,460","20,068,635","8,177,055","15,400,686","3,088,644","7,289,078","7,062,057","4,232,726","39,423,024","6,835,895","88,185,432","28,073,996","2,907,797","36,540,900","10,492,568","14,491,750","44,125,160","3,559,276","15,521,625","2,534,171","15,004,812","91,697,858","10,555,744","2,834,909","27,147,019","26,798,855","5,151,687","19,208,498","2,751,426"
76,                    Capital outlay,"103,962,854","1,449,214","271,777","1,436,425","905,674","13,228,498","2,520,113","907,525","350,955","375,581","3,155,390","3,023,531","494,699","264,875","2,703,730","2,136,225","1,195,340","1,192,926","1,384,071","836,333","241,980","2,218,646","1,737,197","3,319,259","2,532,469","647,328","1,112,996","362,615","729,280","754,790","218,969","2,501,823","822,674","7,255,840","2,303,330","322,634","3,725,049","1,070,362","1,784,742","3,750,983","90,065","1,717,899","355,825","1,222,987","14,654,018","1,374,225","138,077","2,399,717","4,061,210","289,975","2,065,831","347,178"
77,                 Higher education,"302,203,240","5,515,678","800,812","6,369,940","2,840,381","43,517,089","6,609,903","3,183,496","1,387,594","135,726","11,497,337","6,329,100","1,263,577","1,242,554","9,452,410","6,703,872","3,684,881","3,387,345","4,365,418","3,337,940","802,726","6,393,116","5,422,596","12,462,149","5,595,415","2,972,195","3,826,213","977,775","2,337,391","1,614,249","891,916","7,620,853","2,882,721","14,160,445","10,699,862","978,790","10,080,790","3,887,979","4,924,914","10,873,914","726,465","4,511,429","796,715","3,758,740","30,922,621","4,817,425","864,705","8,502,295","7,725,286","1,644,261","6,080,193","822,043"
78,                    Capital outlay,"33,795,464","790,996","142,968","686,968","329,953","4,177,147","664,788","372,491","220,673",0,"814,789","869,270","176,523","112,272","479,128","837,890","391,385","327,988","622,901","256,715","53,920","621,646","728,543","1,756,673","333,020","326,244","281,778","77,309","192,443","138,266","41,692","851,066","281,931","1,549,541","1,004,274","70,424","1,726,632","358,338","723,758","1,557,343","9,557","393,749","129,583","373,003","4,497,696","543,441","71,347","1,013,560","1,037,708","85,254","547,235","143,644"
79,                 Elementary & secondary,"686,791,260","7,999,399","2,265,784","8,527,454","5,275,769","89,902,933","11,005,557","9,672,992","2,079,748","2,905,935","29,236,314","20,737,977","2,264,187","2,351,484","27,299,736","10,592,790","6,843,349","6,275,997","7,447,047","7,980,601","2,677,141","14,074,502","16,555,777","18,216,290","13,414,007","4,593,726","10,662,651","2,008,157","4,683,303","4,813,992","3,080,457","27,653,161","3,564,569","71,900,100","15,467,916","1,803,162","24,906,350","5,975,575","8,235,623","30,700,884","2,560,833","9,453,179","1,609,953","10,169,580","58,205,747","5,421,281","1,729,012","17,452,176","17,620,558","3,003,019","12,188,085","1,725,442"
80,                    Capital outlay,"69,594,123","650,947","128,691","748,089","575,721","9,049,672","1,831,764","504,596","125,172","375,581","2,330,227","1,986,647","318,018","150,634","2,211,232","1,296,122","803,516","863,466","759,773","572,359","187,795","1,594,498","996,785","1,560,267","2,198,955","318,987","829,421","285,146","536,766","616,129","165,101","1,649,650","514,830","5,706,077","1,287,296","251,741","1,991,254","709,753","1,060,712","2,032,193","74,475","1,320,716","213,910","833,529","10,155,954","830,784","65,936","1,384,453","3,020,301","201,983","1,515,500","201,000"
81,                 Other education,"59,334,499","1,145,233","112,546","2,458,521","562,798","6,850,601","1,080,930","653,829","493,082",0,"4,059,732","2,422,765","130,450","246,030","1,853,320","1,252,865","521,763","304,793","1,109,798","883,170","206,085","853,084","1,404,898","1,667,021","1,059,213","611,134","911,822","102,712","268,384","633,816","260,353","4,149,010","388,605","2,124,887","1,906,218","125,845","1,553,760","629,014","1,331,213","2,550,362","271,978","1,557,017","127,503","1,076,492","2,569,490","317,038","241,192","1,192,548","1,453,011","504,407","940,220","203,941"
82,               Libraries,"12,936,494","93,610","43,845","198,719","105,510","1,767,857","322,801","176,167","46,148","128,721","569,576","170,154","38,121","67,123","1,144,500","412,592","143,221","143,525","123,619","199,268","44,518","180,329","316,669","389,131","236,631","28,445","256,985","28,203","83,367","147,080","60,671","337,734","42,750","1,076,578","255,295","20,761","478,920","116,633","254,517","196,339","41,642","175,956","30,470","149,540","708,129","120,816","24,966","367,077","472,335","52,889","314,704","31,338"
83,     Social services and income maintenance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,               Public welfare,"706,594,810","6,759,024","2,682,120","15,117,530","6,823,298","122,547,624","9,861,493","3,889,706","2,712,144","3,759,609","28,957,960","12,698,558","2,983,737","2,731,715","23,255,623","13,955,843","6,223,305","4,445,231","11,823,622","12,241,618","3,365,732","13,182,500","23,807,565","17,420,090","17,035,204","6,264,833","9,946,511","2,268,621","2,907,880","4,279,607","2,405,956","18,805,686","6,347,017","76,217,805","15,309,212","1,546,975","29,145,600","6,790,086","11,244,149","31,622,178","3,198,520","8,043,294","1,226,350","11,295,749","39,851,174","4,054,324","1,805,787","12,636,804","12,979,557","4,584,727","12,664,183","871,374"
85,                    Cash assistance payments,"23,234,222","120,774","120,962","224,078","6,250","6,788,576","76,584","173,484","35,717","879,178","171,936","110,400","25,665","61,344","113,517","325,448","240,578","56,543","176,441","32,894","48,971","1,198,113","529,252","181,503","766,166","56,959","67,166",0,0,"46,262","48,918","566,284","54,704","2,656,485","443,261","71,831","454,898","159,498","255,122","1,866,253","23,510","139,130","93,978","600,046","1,773,923","560,391","23,138","325,678","162,033","50,185","270,164",30
86,                    Vendor payments,"588,275,981","5,901,156","2,140,689","11,796,698","6,252,544","98,288,841","8,178,305","2,655,538","2,359,603","2,021,482","25,763,847","11,301,000","2,462,517","2,321,437","19,732,932","12,495,369","5,447,983","3,736,191","10,818,464","11,379,837","2,411,007","10,805,837","21,517,606","13,572,776","13,782,592","5,835,268","9,231,824","2,107,305","2,046,791","3,525,023","1,824,654","15,979,591","5,671,846","63,115,997","13,348,062","1,239,549","25,340,523","5,656,571","6,830,546","25,232,102","2,887,417","7,085,905","1,019,770","9,522,426","33,616,076","3,060,240","1,115,648","10,156,858","11,333,394","3,886,579","9,798,085","663,678"
87,                    Other public welfare,"95,084,607","737,094","420,469","3,096,754","564,504","17,470,207","1,606,603","1,060,684","316,824","858,949","3,022,177","1,287,158","495,555","348,934","3,409,174","1,135,026","534,744","652,497","828,717","828,887","905,754","1,178,550","1,760,707","3,665,811","2,486,447","372,606","647,521","161,316","861,089","708,322","532,384","2,259,811","620,467","10,445,323","1,517,889","235,595","3,350,179","974,017","4,158,481","4,523,823","287,593","818,259","112,602","1,173,278","4,461,174","433,693","667,001","2,154,268","1,484,130","647,963","2,595,934","207,666"
88,               Hospitals,"200,953,089","6,648,880","467,788","708,375","1,371,086","30,422,716","2,744,524","1,447,957","80,689","357,699","10,247,552","5,424,329","552,966","729,374","3,407,544","5,630,672","4,158,319","3,335,781","2,605,684","2,902,548","188,258","605,003","1,612,105","5,420,878","2,040,417","4,030,394","4,105,978","146,184","783,243","1,119,255","63,389","2,624,584","1,383,268","18,019,454","10,872,220","49,414","5,246,757","1,303,810","3,002,376","4,713,191","56,365","6,690,684","136,536","4,051,207","19,777,292","2,494,212","22,769","5,826,208","7,265,843","374,624","2,442,240","1,240,447"
89,                    Capital outlay,"9,002,508","347,244","8,231","32,679","46,534","1,305,909","151,902","40,602",269,"98,283","572,400","142,404","5,276","61,654","35,264","384,543","211,021","260,643","144,818","111,130","1,026","6,702","56,135","23,202","56,044","154,110","211,632","1,618","55,388","49,067","1,047","2,808","31,797","1,169,763","439,879",47,"225,315","45,962","347,449","200,629","3,373","186,407","21,022","281,335","651,285","152,585",19,"256,300","253,362","1,985","89,370","65,039"
90,               Health,"106,109,709","883,568","295,334","855,510","278,238","26,205,010","743,157","1,028,280","532,632","739,427","5,792,478","2,335,660","569,558","287,426","2,078,930","976,582","423,936","715,006","799,508","784,257","273,256","1,790,961","1,820,469","4,336,633","1,468,180","441,289","2,391,875","398,870","322,887","450,824","172,668","2,247,275","491,331","7,239,784","4,097,849","191,067","3,241,484","1,094,002","1,738,944","5,733,122","263,521","1,446,180","124,054","1,789,336","6,403,281","828,881","397,702","2,417,326","3,956,770","279,061","1,345,652","590,677"
91,               Employment security administration,"3,938,207","96,328","53,215","111,827","90,015","299,604","59,478","20,868","16,540","44,331","305,179","30,598","6,883","8,162","45,692","79,292","51,413","31,485","114,423","111,263","62,218","47,424","185,244","176,744","42,130","35,341","41,464","42,928","44,487","64,348","22,720","200,898","10,669","206,733","103,147","15,278","118,942","75,543","51,799","102,562","40,772","98,397","11,153","59,090","91,145","11,096","1,734","78,147","175,531","20,612","86,492","36,823"
92,               Veterans' services,"1,228,709","6,757",0,"8,689","1,850","19,058","2,686","25,598",0,0,"11,857","11,261",0,0,"14,461","8,230","1,665","10,435","53,330","7,217",366,"2,464","6,573",0,"31,239","26,953",910,"2,295","2,686",521,"1,225","13,648","4,503","6,469","9,347",652,"31,117","15,785","7,678","6,932",0,0,"1,430","5,844","784,964","3,785","1,073","30,499","14,061","12,967","19,508",121
93,     Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,               Highways,"194,537,584","2,841,605","1,576,388","2,674,638","2,006,317","18,076,883","3,396,314","2,112,315","763,131","601,126","11,169,297","4,374,691","760,819","1,017,178","7,901,913","2,734,105","2,854,611","1,715,362","2,140,003","2,235,716","976,792","3,729,849","3,427,420","4,660,963","5,019,315","1,751,825","2,598,661","864,154","1,650,688","2,101,713","752,278","3,994,505","955,709","14,916,768","5,746,198","1,423,180","6,037,271","2,566,872","2,105,480","10,896,458","548,502","2,326,026","911,368","2,571,753","21,927,912","1,972,210","640,827","5,596,848","4,379,205","1,319,761","4,549,156","665,504"
95,                    Capital outlay,"112,088,193","1,562,417","676,698","1,493,588","1,232,577","6,820,234","1,665,067","1,126,117","506,704","369,311","7,402,028","2,574,353","335,667","572,770","4,621,882","1,568,830","1,562,837","866,243","1,245,058","1,284,056","331,541","1,983,504","1,661,572","1,618,033","2,958,827","845,855","1,200,830","379,946","879,973","1,268,549","277,337","2,328,503","487,003","9,738,752","4,127,206","872,298","3,557,253","1,671,397","816,402","7,092,762","294,835","1,513,937","504,732","1,368,063","16,374,625","1,099,716","270,281","3,171,736","2,152,090","615,863","2,793,828","344,507"
96,               Air transportation (airports),"28,623,705","102,374","403,433","713,812","131,288","5,235,669","844,897","29,729","7,896",0,"2,988,948","866,324","678,573","56,674","1,748,454","211,610","128,756","120,059","197,612","490,647","54,705","321,523","622,141","575,318","521,143","86,982","346,448","61,701","88,954","396,750","46,238","42,955","91,280","2,737,050","620,013","75,829","327,901","133,604","390,178","671,975","50,865","151,086","67,108","484,641","1,993,207","680,563","41,050","751,991","689,391","57,390","324,659","162,314"
97,               Parking facilities,"2,203,156","15,917","11,962","10,516","2,758","505,392","55,934","59,118","10,718","35,421","202,787","9,817","3,896",888,"61,422","18,258","26,353","5,336","66,218","14,964","5,201","53,112","16,105","48,118","72,865","1,329","21,546","7,133","13,644","9,925","15,688","73,408","7,466","93,992","46,159","2,753","50,223","12,078","20,197","218,366","3,521","31,224","4,018","16,138","30,996","2,588","8,362","91,128","28,536","7,011","71,829",820
98,               Sea and inland port facilities,"6,314,398","92,201","128,106",0,"3,771","1,333,782",0,"1,840","55,656",0,"523,587","323,906","123,165","1,892",2,"20,141",0,0,"92,683","456,832","4,107","136,359","112,392","11,888","57,416","54,034",199,"2,861",0,0,11,"39,340",0,"297,994","81,714",0,"29,974","7,548","146,448","97,445","2,554","401,950",0,"2,113","603,537",0,0,"614,709","435,878",0,"16,364",0
99,     Public safety:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,               Police protection,"118,559,271","1,303,635","444,859","2,398,553","725,178","20,356,461","2,049,535","1,225,671","358,715","627,829","8,870,403","2,772,653","487,077","456,993","5,693,214","1,512,012","837,998","850,482","773,054","1,555,273","311,589","2,776,640","2,327,960","2,735,818","2,159,896","769,490","1,866,004","345,079","529,024","1,360,243","463,221","3,495,443","717,209","10,702,712","3,272,056","234,245","3,821,803","1,026,589","1,434,948","3,864,430","475,981","1,322,637","219,909","2,180,641","8,536,062","810,722","205,852","2,553,764","2,245,330","409,341","1,865,706","219,332"
101,               Fire protection,"51,006,012","534,330","227,235","1,153,138","326,446","9,113,197","1,025,406","596,717","38,294","317,468","4,089,285","1,177,644","256,643","196,375","2,610,761","802,877","280,186","363,310","417,177","709,364","192,275","1,230,377","1,363,070","1,075,404","515,291","286,296","827,658","104,992","290,251","568,776","249,304","936,565","322,758","4,033,026","1,103,388","60,969","2,040,566","564,649","797,613","907,557","314,456","638,446","63,748","770,890","3,589,236","301,106","74,472","1,450,791","1,187,546","130,437","692,883","85,365"
102,               Correction,"81,524,313","775,193","443,122","1,722,728","509,244","15,538,360","1,359,858","616,281","340,098","252,810","4,842,769","2,134,771","228,042","428,917","2,708,608","1,146,063","446,601","564,188","900,191","920,804","236,840","1,890,761","1,501,681","2,494,881","1,134,285","517,205","957,973","264,164","528,484","789,904","219,086","2,041,110","725,365","6,224,562","2,039,812","174,106","2,203,933","767,349","1,373,984","3,722,268","241,184","782,845","185,429","1,170,253","6,161,625","588,254","143,420","2,706,513","1,774,778","363,783","1,513,986","205,842"
103,                    Capital outlay,"2,353,907","13,109","4,872","28,196","10,246","717,949","8,791","5,069","4,661","2,498","114,188","77,197","2,566","12,419","51,784","19,755","3,523","43,716","19,838","26,433","1,811","38,905","47,388","22,070","34,008","6,120","7,937","6,696","10,048","25,175","14,880","30,528","12,526","182,948","77,758","13,910","135,024","16,450","24,368","76,142","5,067","28,071","1,379","15,833","120,257","42,754","1,182","80,406","53,105","7,200","44,081","3,070"
104,               Protective inspection and regulation,"14,751,138","158,850","50,686","210,093","94,940","4,542,033","129,398","103,692","67,409","121,079","830,735","163,104","71,551","71,647","238,882","135,537","105,488","94,396","128,404","118,129","49,271","282,111","306,976","503,242","145,714","100,133","106,998","39,109","77,498","191,131","62,382","457,417","57,146","769,963","332,406","42,177","325,644","146,418","378,662","383,429","30,766","142,422","38,359","147,867","901,140","90,368","37,524","305,689","532,813","77,974","215,535","36,801"
105,     Environment and housing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,               Natural resources,"32,474,416","249,973","546,156","524,490","370,589","6,789,818","576,559","199,437","82,157","86,889","4,110,248","592,962","156,749","332,779","678,450","459,916","591,493","273,562","427,335","1,084,059","152,485","696,232","263,037","466,047","849,431","318,182","379,915","352,431","306,056","347,505","66,063","525,165","309,819","544,472","659,461","360,637","436,443","180,589","592,956","800,087","87,545","250,686","191,186","419,499","1,651,107","308,405","110,691","311,530","1,329,606","230,084","643,984","199,461"
107,                    Capital outlay,"5,277,936","23,005","45,736","50,258","68,792","880,693","68,502","33,056","10,343","7,916","846,522","65,691","39,039","21,799","74,001","52,493","150,099","14,128","26,135","479,222","11,543","173,476","46,104","19,914","116,098","47,180","32,033","20,720","45,614","145,720","13,820","68,636","36,952","84,946","126,458","80,830","27,343","28,277","41,132","100,289","12,609","34,296","7,722","28,775","531,997","33,584","4,523","41,946","264,365","30,090","39,546","23,966"
108,               Parks and recreation,"45,941,390","493,043","127,681","819,983","255,481","6,296,071","1,787,551","264,865","79,606","333,052","3,550,863","1,183,873","315,937","197,841","3,019,939","554,396","362,580","390,677","405,415","766,276","100,843","1,062,136","512,651","1,151,443","1,358,400","246,383","740,428","105,805","268,772","718,103","119,347","655,281","343,015","3,068,636","1,180,082","258,483","1,772,777","529,949","728,804","1,080,854","82,963","623,893","163,323","619,176","2,776,093","586,951","66,927","1,138,896","1,523,658","228,776","778,424","144,986"
109,                    Capital outlay,"10,374,886","111,527","19,581","112,288","43,003","848,771","610,784","33,778","15,381","130,198","953,783","446,834","85,318","45,017","634,028","65,791","36,515","82,856","55,155","158,965","11,460","72,120","115,764","364,202","365,112","52,003","157,459","30,069","92,812","192,549","6,226","86,535","76,618","896,352","289,291","61,239","522,731","191,799","91,065","219,823","5,087","104,754","26,213","104,429","679,148","114,184","8,919","216,664","410,747","52,517","244,948","22,474"
110,               Housing and community development,"53,966,040","542,350","264,366","513,186","192,749","8,543,797","1,008,476","751,171","179,926","1,024,368","2,412,300","1,127,790","315,227","167,766","2,100,715","838,181","242,885","270,993","427,654","577,930","268,007","1,568,747","2,938,740","1,029,859","1,337,260","268,273","683,561","88,447","199,273","300,992","218,799","1,399,118","126,667","7,055,477","1,560,598","90,807","1,985,693","507,660","768,589","1,976,642","274,981","512,912","103,638","829,663","2,659,093","382,920","154,592","1,005,761","1,639,697","157,563","334,200","35,980"
