F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
                    Motor fuel,"695,145",0.00,"226,806",0.00,"327,665",0.00,"460,856",0.00,"146,796",0.00,"535,550",0.00,"240,177",0.00,"1,648,106",0.00,"1,924,089",0.00,"232,296",0.00,"1,907,996",0.00,"455,288",0.00,"540,051",0.11,"2,731,605",0.00,"85,801",0.00,"546,370",0.00,"148,170",0.00,"857,605",0.00,"3,462,288",0.00,"377,390",0.00,"85,619",0.00,"819,793",0.00,"1,247,817",0.00,"433,899",0.00,"1,014,656",0.00,"118,639",0.00
                    Alcoholic beverage,"36,208",0.00,"33,860",0.00,"29,873",0.00,"43,799",0.00,"12,328",0.00,"138,591",0.02,"47,028",0.00,"275,484",0.00,"422,309",0.29,"9,485",0.00,"112,426",0.00,"116,772",0.00,"17,811",0.00,"394,454",0.00,"19,538",0.00,"167,853",0.00,"16,712",0.06,"357,054",0.99,"1,147,565",0.00,"51,221",0.00,"24,839",0.00,"257,229",0.00,"331,405",0.00,"26,226",0.58,"57,596",0.00,"1,885",0.00
                    Tobacco products,"111,836",0.27,"85,042",0.00,"63,585",0.00,"116,840",0.00,"236,380",0.00,"715,556",0.00,"79,956",0.00,"1,356,593",0.00,"276,458",0.00,"32,518",0.00,"830,313",0.00,"313,852",0.00,"266,247",0.00,"1,028,251",0.00,"137,980",0.00,"25,482",0.00,"61,004",0.00,"263,566",0.00,"1,491,765",0.00,"115,761",0.00,"76,755",0.00,"236,922",0.33,"474,183",0.00,"102,188",0.00,"641,464",0.00,"24,696",0.00
                    Public utilities,"394,880",3.48,"47,026",0.00,"133,333",1.92,"293,228",0.00,"66,656",0.00,"1,031,165",0.20,"82,497",0.59,"1,720,097",0.28,"54,283",3.27,"55,020",0.01,"1,153,759",0.22,"158,712",1.97,"352,185",2.56,"1,286,065",0.00,"105,292",0.00,"98,169",3.36,"13,341",0.34,"121,216",1.78,"1,952,340",1.38,"205,005",2.57,"20,405",0.00,"697,225",1.12,"1,258,835",2.06,"181,517",0.35,"395,883",0.00,"28,247",1.43
                    Other selective sales,"1,101,321",1.97,"218,546",0.11,"58,585",0.09,"1,820,624",0.00,"511,070",0.00,"1,569,250",0.45,"390,742",0.21,"8,167,408",0.06,"1,641,279",0.87,"243,685",0.05,"1,527,113",0.21,"470,859",0.35,"808,200",0.97,"3,668,609",0.07,"339,599",0.15,"759,728",0.64,"193,813",0.05,"1,612,487",1.10,"8,080,254",0.22,"635,055",0.88,"461,272",0.04,"2,161,972",0.79,"1,831,025",0.28,"664,576",0.05,"743,572",0.53,"48,796",1.14
          Individual income,"6,233,008",0.00,"1,180,478",0.00,"2,239,582",0.00,0,0.00,"96,038",0.00,"13,250,002",0.00,"1,381,254",0.00,"55,728,028",0.00,"11,197,650",0.00,"536,131",0.00,"13,824,915",0.64,"3,641,429",0.00,"7,309,147",0.00,"16,337,896",0.60,"1,215,368",0.00,"3,695,701",0.00,0,0.00,"302,196",0.00,0,0.00,"3,157,718",0.00,"709,310",0.00,"11,903,945",0.00,0,0.00,"1,932,457",0.00,"7,069,248",0.00,0,0.00
          Corporate income,"503,117",0.00,"168,039",0.00,"344,477",0.00,0,0.00,"576,679",0.00,"2,579,391",0.00,"249,947",0.00,"12,142,879",0.00,"1,330,223",0.00,"186,039",0.00,"232,126",6.32,"388,530",0.00,"695,552",0.00,"2,975,580",0.00,"176,336",0.00,"377,329",0.00,"4,334",0.00,"1,400,973",0.00,0,0.00,"368,681",0.00,"112,643",0.00,"817,851",0.00,0,0.00,"188,758",0.00,"1,032,411",0.00,0,0.00
          Motor vehicle license,"295,166",0.47,"164,873",0.06,"196,583",6.12,"173,550",0.00,"122,490",0.00,"637,074",0.00,"195,552",0.05,"1,500,501",0.15,"687,936",0.34,"124,587",0.00,"851,043",0.75,"733,182",0.00,"553,550",0.00,"892,817",0.00,"19,987",0.00,"290,572",0.12,"94,538",0.21,"450,792",1.26,"2,449,805",0.53,"176,767",0.00,"70,063",0.00,"628,794",0.69,"607,329",0.12,"2,506",0.28,"472,207",0.16,"101,209",0.05
          Other taxes,"914,018",1.59,"494,383",0.05,"438,636",0.72,"1,461,330",0.03,"351,272",0.17,"2,553,302",0.45,"1,129,881",0.13,"8,299,699",0.31,"1,602,262",0.36,"2,996,402",0.20,"1,901,629",0.65,"1,045,866",0.17,"1,374,360",0.69,"4,275,658",0.59,"164,889",1.44,"1,197,155",0.75,"240,545",0.52,"1,688,695",0.28,"5,972,341",0.29,"380,756",0.59,"99,677",0.21,"2,003,048",0.97,"2,579,842",0.48,"1,066,250",0.35,"846,725",0.45,"998,255",0.17
     Charges and miscellaneous general revenue,"11,421,806",0.49,"1,793,464",0.28,"4,469,886",1.52,"4,402,235",0.35,"2,485,685",0.15,"18,059,112",0.29,"5,687,966",0.09,"55,116,717",0.23,"21,875,308",0.34,"2,225,451",1.88,"24,020,719",0.98,"8,304,526",0.25,"11,837,914",0.47,"25,672,848",0.46,"2,551,447",0.15,"13,863,556",0.21,"1,551,277",0.52,"10,896,024",0.89,"51,732,115",0.34,"7,274,676",1.02,"1,217,691",0.26,"20,456,255",0.27,"18,176,282",0.80,"3,699,069",1.26,"11,505,242",0.59,"3,034,397",0.46
          Current charges,"7,597,546",0.68,"1,100,387",0.37,"3,181,381",2.10,"3,095,711",0.34,"1,414,358",0.20,"11,152,531",0.40,"2,631,910",0.12,"31,202,949",0.38,"16,850,444",0.43,"1,257,195",3.32,"16,578,825",1.24,"5,161,887",0.32,"8,738,860",0.62,"18,463,678",0.64,"1,494,235",0.25,"10,887,393",0.25,"856,537",0.89,"7,703,512",1.24,"34,429,226",0.44,"5,400,952",1.19,"836,854",0.32,"14,773,364",0.34,"13,902,594",1.00,"2,411,659",0.32,"7,717,897",0.87,"1,665,501",0.79
               Education,"2,533,769",0.00,"489,813",0.00,"954,388",0.00,"534,976",0.00,"649,647",0.00,"3,781,631",0.01,"683,058",0.00,"4,125,389",0.61,"3,757,565",0.19,"480,916",0.00,"6,125,230",0.00,"2,245,721",0.00,"2,122,883",0.00,"6,761,378",0.00,"484,737",0.00,"2,412,220",0.00,"377,556",0.00,"2,057,955",0.33,"9,249,777",0.01,"1,699,102",0.00,"542,862",0.00,"4,561,828",0.09,"3,149,014",0.00,"885,869",0.00,"2,498,389",0.00,"190,488",0.00
                    Institutions  of higher education,"2,123,304",0.00,"427,519",0.00,"756,553",0.00,"495,122",0.00,"601,713",0.00,"3,139,025",0.00,"623,085",0.00,"3,619,318",0.70,"3,500,669",0.17,"406,830",0.00,"5,052,531",0.00,"1,937,635",0.00,"1,936,576",0.00,"5,861,128",0.00,"413,039",0.00,"2,130,036",0.00,"319,343",0.00,"1,583,678",0.00,"8,100,950",0.00,"1,607,547",0.00,"515,323",0.00,"4,231,961",0.00,"2,744,603",0.00,"834,798",0.00,"2,217,440",0.00,"171,638",0.00
                    School lunch sales (gross),"129,701",0.00,"18,246",0.00,"65,965",0.00,"24,260",0.00,"35,409",0.00,"236,070",0.11,"23,006",0.00,"252,208",0.00,"166,687",2.13,"31,182",0.00,"228,159",0.00,"72,044",0.00,"38,517",0.00,"289,307",0.00,"18,658",0.00,"72,377",0.00,"29,809",0.00,"84,346",3.05,"622,415",0.00,"53,443",0.00,"16,343",0.00,"214,188",1.65,"99,547",0.00,"16,425",0.00,"147,496",0.00,"14,962",0.00
               Hospitals,"2,573,034",1.39,"85,565",0.01,"1,027,879",5.36,"623,324",0.00,"5,980",0.00,"1,258,617",0.00,"1,147,486",0.05,"10,612,180",0.60,"9,015,432",0.64,"6,498",0.26,"4,503,606",2.91,"1,107,498",0.54,"2,300,316",1.91,"3,237,823",0.05,"8,596",0.00,"5,993,745",0.31,"77,839",0.01,"2,726,082",3.04,"11,506,558",1.05,"1,901,948",3.16,0,0.00,"4,722,648",0.01,"3,813,180",2.08,"374,581",0.02,"1,587,697",1.37,"1,062,170",0.81
               Highways,"32,337",3.03,"25,155",0.18,"34,734",4.57,"7,482",1.85,"164,509",0.01,"1,987,562",0.01,"14,989",0.00,"3,989,601",0.01,"40,362",1.33,"25,998",0.28,"318,563",0.63,"261,715",0.00,"78,974",6.06,"1,146,347",0.15,"42,738",0.00,"69,186",0.00,"11,190",1.21,"2,989",17.48,"1,788,058",1.25,"3,445",5.93,"3,712",5.06,"296,231",0.00,"473,931",0.45,"99,147",0.07,"160,357",2.76,"13,490",0.28
               Air transportation (airports),"352,558",0.45,"32,289",0.25,"59,923",1.99,"540,041",0.00,"47,149",0.00,"23,806",0.84,"76,447",0.05,"2,871,730",0.15,"468,718",0.35,"25,298",1.17,"288,087",4.50,"102,684",1.39,"290,341",0.39,"561,857",5.22,"53,523",0.00,"102,325",1.80,"16,092",0.65,"353,721",3.62,"1,888,557",0.69,"196,789",0.19,"19,554",0.00,"949,675",1.48,"596,720",0.70,"28,283",3.53,"144,375",1.08,"19,129",28.46
               Parking facilities,"30,134",0.02,"6,138",0.00,"17,927",0.00,"6,652",0.00,"13,807",0.00,"130,333",5.13,"8,721",0.00,"313,704",1.31,"43,163",1.98,"3,069",0.23,"46,055",1.85,"16,234",0.00,"64,446",1.05,"341,677",2.13,"2,102",0.00,"40,324",1.04,"3,587",0.00,"14,429",0.27,"38,345",0.04,"7,207",0.00,"6,877",0.06,"78,844",0.49,"60,327",0.00,"9,201",0.43,"72,679",1.43,0,0.00
               Sea and inland port facilities,"1,797",10.94,"1,219",84.52,0,0.00,0,0.00,0,0.00,"27,759",0.51,0,0.00,"298,504",0.04,"36,856",0.00,0,0.00,"25,669",17.19,"8,447",0.75,"78,842",1.16,"12,199",0.59,"1,355",0.00,"197,430",0.02,0,0.00,"2,923",0.00,"432,276",0.48,0,0.00,0,0.00,"441,925",0.01,"482,524",12.06,0,0.00,"9,078",2.52,0,0.00
               Natural resources,"19,614",9.37,"32,078",6.52,"62,044",9.83,"17,025",8.28,"5,418",2.02,"10,915",2.67,"29,804",5.18,"81,790",0.00,"51,948",1.26,"79,695",51.91,"36,152",2.36,"29,314",3.57,"204,295",3.73,"61,547",2.12,"16,434",0.18,"31,658",0.22,"26,504",24.50,"28,512",0.34,"216,615",3.28,"25,267",11.25,"3,247",1.92,"13,163",0.71,"209,012",16.27,"26,898",0.26,"108,866",9.21,"20,149",5.54
               Parks and recreation,"146,417",3.57,"22,125",0.59,"43,253",1.24,"144,084",0.04,"45,481",0.86,"243,324",3.65,"34,261",0.94,"697,710",1.54,"197,617",2.53,"65,831",7.45,"271,550",4.95,"112,618",4.31,"230,113",2.64,"189,028",4.47,"42,846",0.00,"156,123",7.39,"31,544",0.48,"115,056",5.29,"537,406",3.28,"134,463",3.90,"22,898",0.86,"258,549",1.87,"257,530",2.76,"63,954",2.36,"229,178",1.31,"23,074",5.79
               Housing and community development,"54,346",2.79,"11,128",8.49,"48,551",13.84,"23,081",44.10,"30,581",0.13,"293,010",2.05,"14,765",2.07,"1,102,764",0.01,"140,796",5.23,"11,915",6.97,"131,671",9.43,"46,869",3.16,"62,813",12.55,"250,183",7.70,"48,835",4.47,"55,226",9.91,"10,009",7.94,"93,142",6.21,"312,116",3.67,"20,271",4.98,"17,541",2.01,"138,221",0.42,"304,526",2.78,"26,042",6.36,"89,704",4.73,"3,879",0.12
               Sewerage,"930,353",2.29,"108,139",2.33,"249,877",1.64,"478,327",0.35,"141,577",1.43,"1,672,729",2.50,"186,554",0.55,"2,812,947",0.82,"1,405,712",2.71,"62,084",1.23,"2,325,743",1.32,"409,583",2.35,"1,068,164",1.96,"2,801,897",3.64,"216,831",0.00,"661,806",1.86,"95,517",1.85,"927,954",3.01,"3,843,909",1.19,"391,093",3.80,"75,450",1.97,"1,569,424",1.25,"2,364,158",3.43,"281,772",1.94,"935,618",1.28,"71,487",2.80
               Solid waste management,"116,262",5.66,"67,616",2.56,"44,533",4.56,"26,229",0.63,"33,118",2.06,"470,925",0.84,"211,386",0.89,"563,142",2.52,"536,489",2.17,"75,430",0.69,"345,835",3.11,"272,681",3.28,"132,261",0.80,"641,511",6.52,"26,174",0.00,"209,979",3.39,"51,214",1.74,"256,906",5.02,"1,424,964",2.41,"190,191",1.50,"25,952",7.43,"455,142",4.20,"748,784",2.06,"47,619",8.77,"233,407",6.29,"79,154",3.62
               Other charges,"806,925",3.62,"219,122",0.35,"638,272",5.67,"694,490",0.05,"277,091",0.61,"1,251,920",0.64,"224,439",0.80,"3,733,488",2.42,"1,155,786",1.31,"420,461",0.31,"2,160,664",7.08,"548,523",1.09,"2,105,412",0.93,"2,458,231",0.70,"550,064",0.54,"957,371",0.78,"155,485",2.18,"1,123,843",2.81,"3,190,645",2.02,"831,176",2.02,"118,761",0.77,"1,287,714",3.09,"1,442,888",2.86,"568,293",0.37,"1,648,549",3.60,"182,481",4.07
          Miscellaneous general revenue,"3,824,260",0.53,"693,077",0.44,"1,288,505",0.96,"1,306,524",0.85,"1,071,327",0.24,"6,906,581",0.41,"3,056,056",0.13,"23,913,768",0.17,"5,024,864",0.38,"968,256",0.45,"7,441,894",1.54,"3,142,639",0.41,"3,099,054",0.43,"7,209,170",0.25,"1,057,212",0.07,"2,976,163",0.26,"694,740",0.35,"3,192,512",0.58,"17,302,889",0.48,"1,873,724",1.97,"380,837",0.45,"5,682,891",0.37,"4,273,688",0.91,"1,287,410",3.57,"3,787,345",0.26,"1,368,896",0.35
               Interest earnings,"985,068",0.46,"239,956",0.18,"279,040",0.58,"219,639",0.49,"398,440",0.36,"1,442,788",0.48,"919,500",0.19,"4,871,479",0.37,"737,627",0.45,"429,922",0.12,"1,697,493",1.64,"476,469",0.44,"544,227",1.18,"1,711,421",0.54,"381,061",0.01,"617,396",0.27,"241,817",0.12,"574,098",1.64,"5,523,029",0.72,"375,999",0.86,"115,002",0.27,"1,246,170",0.70,"934,385",0.39,"213,883",0.20,"902,243",0.48,"834,493",0.36
               Special assessments,"92,739",5.00,"74,029",3.75,"39,032",10.42,"65,141",0.74,"1,804",17.52,"2,051",7.48,"16,782",11.68,"135,309",7.04,"15,569",7.80,"113,505",1.10,"244,586",6.47,"26,341",19.80,"62,477",9.25,"75,737",7.54,"4,202",0.00,"44,688",0.85,"13,869",6.12,"111,862",4.04,"341,655",4.45,"79,736",23.14,"4,056",7.88,"56,630",3.83,"389,676",8.37,"35,011",131.21,"63,558",3.96,"16,279",19.04
               Sale of property,"48,611",3.89,"18,839",1.08,"14,446",13.15,"27,166",0.17,"9,525",7.89,"32,124",11.46,"9,994",1.21,"125,890",1.58,"66,744",2.46,"10,281",1.12,"62,423",5.57,"121,992",4.78,"31,836",17.64,"98,945",4.94,"6,236",0.37,"38,850",1.92,"12,354",1.14,"40,646",5.39,"382,114",3.23,"65,771",1.76,"4,953",2.20,"28,487",2.36,"203,346",7.84,"5,968",3.72,"66,757",5.18,"5,575",18.33
               Other general revenue,"2,697,842",0.71,"360,253",0.30,"955,987",1.19,"994,578",1.11,"661,558",0.29,"5,429,618",0.50,"2,109,780",0.15,"18,781,090",0.18,"4,204,924",0.45,"414,548",1.01,"5,437,392",2.02,"2,517,837",0.40,"2,460,514",0.35,"5,323,067",0.25,"665,713",0.11,"2,275,229",0.34,"426,700",0.53,"2,465,906",0.61,"11,056,091",0.64,"1,352,218",2.35,"256,826",0.65,"4,351,604",0.43,"2,746,281",0.51,"1,032,548",0.25,"2,754,787",0.28,"512,549",0.38
Utility revenue,"2,613,934",2.97,"131,751",1.68,"4,496,733",0.85,"1,213,099",0.15,"124,329",1.69,"2,146,226",2.02,"617,816",0.22,"16,100,439",0.39,"4,929,000",1.42,"251,442",0.88,"3,057,282",2.07,"1,955,452",2.60,"1,551,005",2.23,"2,991,294",2.60,"233,154",0.83,"3,761,090",0.92,"364,130",0.68,"9,340,080",1.57,"14,072,658",1.00,"2,056,877",1.34,"241,402",3.56,"2,053,559",1.34,"6,814,204",1.04,"250,289",2.85,"2,207,282",1.78,"218,983",2.51
     Water supply,"875,461",7.31,"129,212",1.71,"272,324",2.12,"992,769",0.12,"106,469",1.97,"941,261",3.31,"339,919",0.39,"2,508,854",1.77,"1,419,198",3.00,"221,474",0.89,"1,844,288",1.89,"819,471",5.12,"706,110",3.43,"1,430,234",5.05,"199,900",0.97,"847,902",2.42,"135,915",1.00,"1,142,524",3.07,"6,182,301",1.68,"564,572",2.42,"78,107",3.07,"1,255,327",1.52,"1,293,092",4.63,"228,182",3.10,"679,798",1.88,"130,683",3.64
     Electric power,"1,519,117",2.85,579,15.58,"3,931,565",0.96,"125,422",1.07,"12,610",0.00,"164,815",18.19,"199,166",0.04,"7,106,339",0.62,"3,263,397",1.68,"26,274",3.70,"1,027,145",5.12,"1,088,486",2.51,"700,179",3.40,"178,286",15.69,"8,666",0.00,"2,624,229",0.40,"212,626",0.78,"6,684,116",1.97,"7,275,833",1.30,"1,425,721",1.66,"157,721",5.24,"447,381",4.38,"5,044,512",0.69,"10,983",0.00,"1,448,659",2.57,"87,621",3.14
     Gas supply,"138,322",5.31,0,0.00,"285,739",0.81,0,0.00,0,0.00,0,0.00,"60,050",0.30,"17,356",16.48,"173,592",2.91,390,40.15,"49,510",0.27,"39,293",20.75,502,0.00,"694,513",0.02,0,0.00,"271,944",9.42,"14,383",8.53,"1,469,450",3.59,"329,001",1.82,"9,887",35.30,0,0.00,"220,130",0.11,"9,352",77.54,404,0.00,"1,270",3.99,0,0.00
     Transit,"81,034",0.09,"1,960",0.15,"7,105",0.13,"94,908",0.00,"5,250",1.68,"1,040,150",0.00,"18,681",0.11,"6,467,890",0.03,"72,813",2.78,"3,304",0.02,"136,339",4.67,"8,202",0.07,"144,214",4.57,"688,261",0.93,"24,588",0.00,"17,015",17.23,"1,206",0.82,"43,990",0.93,"285,523",1.38,"56,697",0.02,"5,574",0.04,"130,721",2.47,"467,248",2.71,"10,720",9.25,"77,555",0.50,679,0.00
Liquor store revenue,0,0.00,"89,312",0.00,0,0.00,0,0.00,"631,095",0.00,0,0.00,0,0.00,0,0.00,"741,061",2.01,0,0.00,"982,337",0.00,0,0.00,"1,087,630",0.00,"1,862,270",0.00,0,0.00,0,0.00,"20,130",4.29,0,0.00,0,0.00,"334,840",0.00,"54,320",0.00,"704,141",0.00,0,0.00,"93,951",0.00,0,0.00,"110,208",0.00
Insurance trust revenue2,"6,635,417",1.35,"1,113,365",0.02,"1,412,660",2.02,"3,311,665",0.00,"850,362",0.00,"8,003,198",0.00,"2,011,929",0.00,"36,017,399",0.00,"5,080,588",0.01,"1,029,360",0.00,"17,818,490",0.00,"2,674,625",0.60,"6,376,632",0.00,"12,987,668",1.13,"966,751",0.41,"2,884,237",0.00,"684,457",0.00,"3,211,635",1.05,"14,941,438",0.37,"2,621,035",0.00,"250,132",0.00,"6,894,420",0.31,"8,809,019",0.03,"1,182,875",0.62,"8,636,426",0.00,"1,104,134",0.00
