,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
53,Insurance trust revenue2,"320,089,958",0.1,"1,944,260",0.08,"709,400",0,"4,708,066",0.01,"2,237,457",0.06,"61,700,381",0.08,"6,295,340",0.72,"2,893,283",2.49,"681,151",0.15,"850,711",0,"12,848,139",1.46,"6,322,117",0.58,"1,251,747",0,"1,267,968",0,"14,368,374",0.37,"2,920,175",0.31,"2,854,399",0,"1,810,673",0,"3,145,562",0.05,"4,240,900",0.46,"775,379",0,"4,233,695",0.94,"7,687,605",1.15,"7,699,519",0.81,"6,803,506",0.08,"2,330,234",0,"6,635,417",1.35,"1,113,365",0.02,"1,412,660",2.02,"3,311,665",0,"850,362",0,"8,003,198",0,"2,011,929",0,"36,017,399",0,"5,080,588",0.01,"1,029,360",0,"17,818,490",0,"2,674,625",0.6,"6,376,632",0,"12,987,668",1.13,"966,751",0.41,"2,884,237",0,"684,457",0,"3,211,635",1.05,"14,941,438",0.37,"2,621,035",0,"250,132",0,"6,894,420",0.31,"8,809,019",0.03,"1,182,875",0.62,"8,636,426",0,"1,104,134",0
54,     Unemployment compensation,"49,303,171",0,"338,715",0,"212,932",0,"462,457",0,"363,697",0,"9,997,694",0,"729,386",0,"918,825",0,"140,401",0,"169,371",0,"1,575,852",0,"853,438",0,"247,513",0,"173,595",0,"2,548,346",0,"700,437",0,"450,586",0,"421,809",0,"543,275",0,"256,040",0,"162,586",0,"698,732",0,"1,599,745",0,"1,528,668",0,"985,902",0,"183,088",0,"631,210",0,"152,565",0,"118,612",0,"534,450",0,"105,841",0,"2,802,908",0,"272,235",0,"3,620,793",0,"1,376,622",0,"125,533",0,"1,277,814",0,"335,965",0,"1,071,828",0,"3,099,472",0,"267,720",0,"467,790",0,"44,134",0,"378,748",0,"2,311,936",0,"316,297",0,"147,127",0,"713,179",0,"1,440,874",0,"214,990",0,"1,105,326",0,"106,112",0
55,     Employee retirement,"247,486,231",0.13,"1,605,545",0.1,"491,080",0,"4,245,609",0.01,"1,856,986",0.08,"43,569,127",0.11,"4,796,097",0.95,"1,934,366",3.72,"532,539",0.19,"681,340",0,"11,269,227",1.66,"5,374,329",0.68,"1,004,234",0,"884,469",0,"11,814,065",0.45,"2,213,471",0.4,"2,398,100",0,"1,380,096",0,"2,340,734",0.07,"3,691,666",0.53,"601,832",0,"3,090,241",1.28,"5,792,189",1.52,"6,151,965",1.01,"5,737,344",0.09,"2,141,833",0,"5,913,656",1.52,"761,233",0.03,"1,293,963",2.2,"2,777,215",0,"744,521",0,"4,401,633",0,"1,709,281",0,"29,257,935",0,"3,703,966",0.01,"612,942",0,"15,043,525",0,"2,000,390",0.8,"4,664,407",0,"9,557,543",1.53,"503,969",0.79,"2,336,319",0,"640,295",0,"2,832,887",1.19,"11,147,398",0.5,"2,032,854",0,"103,005",0,"6,178,393",0.35,"4,612,315",0.05,"906,669",0.81,"7,526,263",0,"625,170",0
56,     Workers' compensation,"15,712,731",0,0,0,"5,388",0,0,0,"16,774",0,"1,830,327",0,"762,699",0,"40,092",0,"8,211",0,0,0,"3,060",0,0,0,0,0,"209,904",0,"5,814",0,"6,267",0,"5,713",0,"8,768",0,"261,553",0,"113,696",0,"10,961",0,"353,595",0,"77,920",0,"18,886",0,"80,260",0,"5,313",0,"90,551",0,"199,567",0,85,0,0,0,0,0,"281,322",0,"30,413",0,"3,138,671",0,0,0,"290,885",0,"1,497,151",0,"338,270",0,"640,397",0,"330,653",0,"17,838",0,"80,128",0,28,0,0,0,"1,482,104",0,"271,884",0,0,0,"2,848",0,"2,755,830",0,"61,216",0,"4,837",0,"372,852",0
57,     Other insurance trust revenue,"7,587,825",0,0,0,0,0,0,0,0,0,"6,303,233",0,"7,158",0,0,0,0,0,0,0,0,0,"94,350",0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,"179,498",0,0,0,"91,127",0,"217,751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"517,335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"177,224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,           Expenditure1,"3,405,438,716",0.05,"47,322,321",0.36,"16,856,025",0.14,"51,738,519",0.16,"26,098,283",0.15,"514,882,148",0.19,"55,219,433",0.37,"40,154,113",0.31,"10,820,667",0.02,"15,705,670",0,"164,800,873",0.22,"79,597,340",0.28,"15,574,132",0,"12,666,037",0.15,"142,658,109",0.25,"54,793,743",0.25,"33,750,921",0.53,"27,958,492",0.3,"43,919,437",0.14,"45,903,350",0.07,"12,099,770",0.23,"66,456,169",0.25,"87,027,762",0.19,"93,510,917",0.31,"60,595,397",0.3,"28,831,534",0.2,"52,652,230",0.19,"9,471,049",0.11,"22,024,166",0.36,"23,302,108",0.64,"11,588,223",0.08,"107,297,024",0.16,"24,516,432",0.09,"323,977,406",0.08,"87,421,274",0.28,"10,164,127",0.42,"120,554,257",0.26,"33,578,750",0.22,"49,097,293",0.17,"135,745,814",0.25,"12,261,929",0.09,"45,918,121",0.16,"7,560,210",0.13,"56,716,704",0.42,"241,188,809",0.4,"26,724,492",0.31,"7,756,592",0.19,"78,134,213",0.32,"82,180,083",0.28,"17,573,509",0.09,"59,174,093",0.21,"9,918,646",0.23
59,By character and object:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,     Intergovernmental expenditure1,"3,210,012",0,0,0,0,0,0,0,132,0,"2,786,881",0,"1,699",0,0,0,916,0,0,0,0,0,0,0,382,0,0,0,"9,458",0,"3,289",0,0,0,"35,022",0,0,0,0,0,0,0,0,0,"1,538",0,"11,023",0,242,0,0,0,"53,687",0,0,0,"43,415",0,"2,242",0,0,0,"19,000",0,0,0,0,0,0,0,0,0,"12,963",0,"52,167",0,0,0,"130,023",0,"18,246",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,908",0,"5,916",0,0,0,0,0,"19,863",0
61,     Direct expenditure,"3,402,228,704",0.05,"47,322,321",0.36,"16,856,025",0.14,"51,738,519",0.16,"26,098,151",0.15,"512,095,267",0.19,"55,217,734",0.37,"40,154,113",0.31,"10,819,751",0.02,"15,705,670",0,"164,800,873",0.22,"79,597,340",0.28,"15,573,750",0,"12,666,037",0.15,"142,648,651",0.25,"54,790,454",0.25,"33,750,921",0.53,"27,923,470",0.3,"43,919,437",0.14,"45,903,350",0.07,"12,099,770",0.23,"66,456,169",0.25,"87,026,224",0.19,"93,499,894",0.31,"60,595,155",0.3,"28,831,534",0.2,"52,598,543",0.19,"9,471,049",0.11,"21,980,751",0.36,"23,299,866",0.64,"11,588,223",0.08,"107,278,024",0.16,"24,516,432",0.09,"323,977,406",0.08,"87,421,274",0.28,"10,164,127",0.42,"120,541,294",0.26,"33,526,583",0.23,"49,097,293",0.17,"135,615,791",0.25,"12,243,683",0.09,"45,918,121",0.16,"7,560,210",0.13,"56,716,704",0.42,"241,188,809",0.4,"26,724,492",0.31,"7,756,592",0.19,"78,132,305",0.32,"82,174,167",0.28,"17,573,509",0.09,"59,174,093",0.21,"9,898,783",0.23
62,          Current operations,"2,561,395,627",0.06,"36,496,529",0.44,"12,177,656",0.18,"39,628,012",0.19,"20,724,324",0.17,"376,478,630",0.23,"39,441,336",0.43,"28,460,000",0.23,"8,676,483",0,"12,047,537",0,"130,649,027",0.22,"60,535,512",0.27,"11,483,220",0,"10,134,743",0.14,"101,437,421",0.33,"43,102,319",0.32,"25,569,569",0.35,"21,553,798",0.39,"32,553,188",0.15,"33,817,877",0.07,"9,848,889",0.25,"51,720,535",0.05,"65,535,017",0.22,"73,397,079",0.37,"45,969,663",0.34,"22,702,445",0.22,"40,790,005",0.22,"7,303,964",0.1,"17,313,171",0.4,"17,119,196",0.87,"9,337,023",0.09,"80,047,483",0.18,"18,986,186",0.05,"236,591,504",0.1,"69,975,990",0.33,"6,846,248",0.2,"88,418,269",0.34,"25,386,820",0.26,"37,967,271",0.2,"101,874,774",0.21,"9,257,526",0.09,"35,938,111",0.18,"5,577,635",0.18,"45,826,312",0.5,"178,282,358",0.54,"20,350,359",0.37,"6,504,028",0.22,"60,191,262",0.4,"59,928,835",0.33,"13,866,608",0.1,"46,110,478",0.22,"7,463,402",0.24
63,          Capital outlay,"336,087,532",0.18,"3,917,282",1.15,"2,792,085",0.31,"5,016,452",0.77,"2,441,942",0.62,"44,285,792",0.89,"6,812,597",1.46,"4,153,430",0.51,"758,085",0,"2,488,403",0,"16,395,674",0.75,"8,366,897",1.27,"2,241,613",0,"1,101,720",1.09,"13,926,804",0.85,"5,282,914",0.49,"4,568,615",3.38,"3,347,988",0.4,"4,279,964",0.81,"5,155,879",0.34,"742,757",1.79,"5,282,942",0.09,"8,715,006",0.79,"6,127,145",1.11,"6,302,614",1.34,"2,775,296",0.98,"4,352,752",0.88,"939,000",0.85,"2,865,584",1.29,"2,367,490",0.5,"815,527",0.61,"9,395,760",0.87,"2,506,346",0.78,"33,428,793",0.29,"7,422,511",0.93,"2,286,958",1.77,"10,558,043",0.79,"4,180,715",0.81,"4,146,131",0.96,"12,525,549",1.12,"714,791",0.11,"3,873,135",0.93,"1,121,393",0.22,"4,891,471",1.27,"29,791,196",0.48,"3,101,861",1.18,"548,585",0.75,"8,423,045",0.76,"10,277,682",1.23,"1,377,709",0.42,"5,340,151",1.28,"1,555,458",0.87
64,               Construction,"271,189,843",0.2,"2,886,686",1.47,"2,446,644",0.35,"4,337,787",0.85,"2,013,310",0.63,"37,162,835",1.01,"5,591,629",1.68,"3,502,691",0.52,"621,919",0,"2,290,118",0,"12,750,190",0.69,"6,384,565",0.92,"1,452,029",0,"804,337",1.47,"11,483,352",0.92,"3,678,594",0.66,"3,965,670",3.88,"2,682,848",0.43,"3,505,635",0.94,"4,170,198",0.42,"589,438",2.1,"4,444,790",0.03,"6,915,141",0.97,"4,554,231",1.38,"4,626,867",0.68,"2,201,448",1.07,"3,331,262",1.02,"781,610",0.95,"2,228,166",1.59,"1,803,949",0.66,"665,215",0.72,"7,290,859",1.1,"1,749,103",0.23,"28,242,836",0.28,"5,590,438",1.16,"1,990,076",2.03,"8,651,110",0.92,"3,122,913",0.85,"3,504,414",1.07,"10,301,379",1.33,"550,604",0.06,"2,904,245",1.21,"1,004,920",0.21,"3,801,526",1.55,"24,520,406",0.55,"2,212,867",1.63,"424,778",0.89,"6,745,706",0.69,"7,972,744",1.45,"1,105,296",0.45,"4,352,470",1.52,"1,277,999",1.02
65,               Other capital outlay,"64,897,689",0.36,"1,030,596",1.42,"345,441",0.23,"678,665",1.6,"428,632",1.91,"7,122,957",1.66,"1,220,968",2.61,"650,739",1.7,"136,166",0,"198,285",0,"3,645,484",2.34,"1,982,332",4.47,"789,584",0,"297,383",0.7,"2,443,452",2.1,"1,604,320",0.55,"602,945",1.84,"665,140",1.06,"774,329",1.42,"985,681",0.21,"153,319",3.18,"838,152",0.55,"1,799,865",0.76,"1,572,914",1.67,"1,675,747",4.66,"573,848",2.41,"1,021,490",1.71,"157,390",1.87,"637,418",1.62,"563,541",0.07,"150,312",0.88,"2,104,901",0.8,"757,243",2.53,"5,185,957",1.02,"1,832,073",1.31,"296,882",1.26,"1,906,933",1.37,"1,057,802",1.96,"641,717",2.1,"2,224,170",1.41,"164,187",0.43,"968,890",0.84,"116,473",0.97,"1,089,945",1.86,"5,270,790",0.83,"888,994",0.61,"123,807",1.25,"1,677,339",2.63,"2,304,938",2.26,"272,413",1.15,"987,681",1.72,"277,459",1.29
66,          Assistance and subsidies,"57,331,814",0.05,"2,051,655",0,"196,622",0,"898,849",0,"467,159",0,"12,087,102",0,"872,228",0,"541,510",0.02,"318,913",0,"149,327",0,"1,433,614",0,"1,086,289",0,"146,408",0,"137,869",0,"1,464,072",0,"1,078,669",0,"569,550",0,"195,717",0,"1,037,327",0,"671,297",0,"162,485",0.08,"1,722,166",0,"995,832",0,"1,227,677",0,"1,226,072",0.83,"346,878",0,"608,339",0,"87,345",0,"191,885",0,"387,270",0,"224,864",0.08,"1,714,031",0,"292,723",0,"4,771,722",0.34,"1,799,232",1.07,"111,112",0,"1,553,955",0.49,"501,566",0,"498,600",0,"2,364,279",0,"159,199",0,"1,288,344",0,"122,330",0,"1,224,251",0,"3,265,396",0,"816,405",0,"168,487",0,"1,217,199",0.61,"1,577,951",0,"571,299",0,"678,683",0.98,"50,060",0
67,          Interest on debt,"122,305,060",0.13,"1,176,547",1.03,"393,291",0.09,"1,711,026",0.73,"521,491",1.58,"19,423,537",0.58,"2,411,209",1.21,"1,844,282",0.12,"316,589",0,"537,899",0,"5,363,547",0.81,"2,377,706",1.25,"342,917",0,"244,162",0.75,"7,066,187",0.34,"2,292,763",0.4,"647,517",1.04,"853,902",0.48,"1,777,397",0.56,"1,600,601",0.13,"309,421",0.45,"2,106,089",0.14,"3,332,535",0.15,"3,221,375",0.45,"1,834,771",0.55,"480,076",0.98,"1,782,355",0.69,"192,818",0.41,"547,829",1.3,"1,069,638",0.03,"451,064",0.13,"3,357,386",0.48,"535,767",0.37,"16,231,546",0.17,"2,467,523",0.79,"201,934",1.64,"3,191,128",1.01,"761,343",0.9,"1,219,323",0.65,"4,435,861",0.51,"641,669",0.03,"1,486,911",0.25,"203,385",0.25,"1,535,288",0.68,"11,269,901",0.47,"749,241",0.57,"155,254",0.41,"2,537,278",0.67,"3,368,190",0.32,"315,485",0.83,"1,341,981",0.65,"68,125",1.42
68,          Insurance benefits and repayments,"325,108,671",0.13,"3,680,308",0.04,"1,296,371",0,"4,484,180",0.02,"1,943,235",0.06,"59,820,206",0.19,"5,680,364",0.91,"5,154,891",2.05,"749,681",0.29,"482,504",0,"10,959,011",1.71,"7,230,936",1.59,"1,359,592",0,"1,047,543",0,"18,754,167",0.4,"3,033,789",0.13,"2,395,670",0,"1,972,065",0,"4,271,561",0.1,"4,657,696",0.24,"1,036,218",0,"5,624,437",2.88,"8,447,834",0.5,"9,526,618",0.64,"5,262,035",0.02,"2,526,839",0,"5,065,092",0.25,"947,922",0.03,"1,062,282",1.25,"2,356,272",0,"759,745",0,"12,763,364",0,"2,195,410",0,"32,953,841",0,"5,756,018",0,"717,875",0,"16,819,899",0,"2,696,139",0.16,"5,265,968",0,"14,415,328",1.54,"1,470,498",0.53,"3,331,620",0,"535,467",0,"3,239,382",1,"18,579,958",0.21,"1,706,626",0,"380,238",0,"5,763,521",0.86,"7,021,509",0.09,"1,442,408",0.46,"5,702,800",0,"761,738",0
69,          Exhibit: Salaries and wages,"900,860,694",0.05,"12,565,281",0.52,"3,448,682",0.08,"14,376,855",0.1,"6,940,917",0.44,"130,304,927",0.03,"15,735,181",0.13,"12,390,860",0.1,"2,698,594",0.02,"3,751,793",0,"42,556,925",0.09,"22,280,029",0.8,"4,174,395",0,"3,626,093",0.23,"37,842,101",0.09,"14,474,443",0.45,"9,712,475",0.1,"8,957,680",0.07,"10,556,743",0.58,"11,427,548",1.03,"3,215,277",1.14,"18,926,186",0.19,"21,110,366",0.6,"24,473,628",0.47,"16,321,200",0.4,"7,645,269",0.62,"13,686,105",0.34,"2,682,848",0.17,"5,822,170",0.37,"6,716,606",0.15,"3,639,300",0.14,"33,202,166",0.54,"5,952,673",0.66,"80,772,100",0.19,"25,839,866",0.14,"2,394,594",0.23,"29,988,237",0.27,"9,168,870",0.21,"11,143,300",0.37,"31,904,223",0.33,"3,065,422",0.23,"11,832,177",1.09,"2,029,433",0.36,"14,229,125",0.45,"70,990,218",0.03,"7,041,964",0.94,"2,106,749",0.09,"22,742,300",0.29,"22,318,154",0.52,"4,307,388",1.55,"15,111,107",0.37,"2,660,152",0.2
70,Direct expenditure by function,"3,402,228,704",0.05,"47,322,321",0.36,"16,856,025",0.14,"51,738,519",0.16,"26,098,151",0.15,"512,095,267",0.19,"55,217,734",0.37,"40,154,113",0.31,"10,819,751",0.02,"15,705,670",0,"164,800,873",0.22,"79,597,340",0.28,"15,573,750",0,"12,666,037",0.15,"142,648,651",0.25,"54,790,454",0.25,"33,750,921",0.53,"27,923,470",0.3,"43,919,437",0.14,"45,903,350",0.07,"12,099,770",0.23,"66,456,169",0.25,"87,026,224",0.19,"93,499,894",0.31,"60,595,155",0.3,"28,831,534",0.2,"52,598,543",0.19,"9,471,049",0.11,"21,980,751",0.36,"23,299,866",0.64,"11,588,223",0.08,"107,278,024",0.16,"24,516,432",0.09,"323,977,406",0.08,"87,421,274",0.28,"10,164,127",0.42,"120,541,294",0.26,"33,526,583",0.23,"49,097,293",0.17,"135,615,791",0.25,"12,243,683",0.09,"45,918,121",0.16,"7,560,210",0.13,"56,716,704",0.42,"241,188,809",0.4,"26,724,492",0.31,"7,756,592",0.19,"78,132,305",0.32,"82,174,167",0.28,"17,573,509",0.09,"59,174,093",0.21,"9,898,783",0.23
71,     Direct general expenditure,"2,841,079,436",0.06,"40,277,001",0.21,"14,804,235",0.15,"41,486,266",0.19,"23,150,567",0.15,"410,577,739",0.2,"45,063,968",0.39,"33,602,379",0.19,"9,509,701",0,"12,388,397",0,"142,729,146",0.19,"66,126,532",0.24,"13,058,354",0,"11,255,013",0.16,"115,451,436",0.29,"49,049,578",0.25,"29,888,300",0.33,"24,401,536",0.34,"37,539,236",0.12,"39,693,568",0.07,"10,859,685",0.24,"58,012,371",0.05,"72,074,258",0.22,"79,771,454",0.35,"52,214,439",0.33,"25,084,954",0.17,"44,832,228",0.19,"8,257,534",0.11,"16,530,312",0.43,"19,574,933",0.76,"10,183,702",0.09,"90,691,228",0.18,"21,581,532",0.1,"257,878,354",0.09,"75,794,021",0.3,"9,017,967",0.47,"99,205,156",0.31,"28,698,897",0.19,"40,726,450",0.18,"114,666,766",0.2,"10,452,691",0.08,"39,095,195",0.16,"6,648,371",0.14,"43,999,282",0.44,"204,929,028",0.47,"22,558,829",0.33,"7,019,180",0.18,"68,967,488",0.36,"66,275,514",0.32,"15,687,219",0.08,"51,021,463",0.23,"8,715,983",0.24
72,          Capital outlay,"281,238,973",0.19,"3,574,199",0.99,"2,514,270",0.33,"3,633,725",1.02,"2,285,383",0.6,"32,407,630",1.16,"5,230,314",1.74,"3,827,956",0.54,"707,565",0,"1,615,784",0,"14,723,749",0.75,"7,262,723",1.44,"1,629,449",0,"1,037,265",1.11,"11,945,214",0.91,"4,767,539",0.52,"4,330,724",1.14,"3,113,482",0.39,"3,932,665",0.54,"4,765,051",0.33,"678,873",1.62,"4,590,581",0.1,"6,627,927",1.03,"5,462,620",1.2,"5,793,613",1.42,"2,617,991",0.95,"4,083,483",0.91,"873,790",0.75,"2,190,918",1.54,"2,120,508",0.56,"790,008",0.63,"8,400,567",0.87,"2,378,165",0.82,"23,231,137",0.35,"6,476,853",0.76,"2,113,185",1.92,"9,847,252",0.83,"3,641,629",0.6,"3,383,736",0.91,"11,408,193",0.84,"646,925",0.12,"3,516,803",0.88,"1,072,077",0.21,"3,953,204",1.47,"25,364,328",0.47,"2,816,371",0.6,"498,963",0.8,"7,678,585",0.8,"7,817,799",1.41,"1,272,616",0.41,"5,167,463",1.32,"1,418,123",0.81
73,          Other direct general expenditure,"2,559,840,463",0.06,"36,702,802",0.21,"12,289,965",0.17,"37,852,541",0.18,"20,865,184",0.16,"378,170,109",0.19,"39,833,654",0.38,"29,774,423",0.21,"8,802,136",0,"10,772,613",0,"128,005,397",0.19,"58,863,809",0.2,"11,428,905",0,"10,217,748",0.13,"103,506,222",0.3,"44,282,039",0.27,"25,557,576",0.33,"21,288,054",0.39,"33,606,571",0.12,"34,928,517",0.06,"10,180,812",0.23,"53,421,790",0.05,"65,446,331",0.22,"74,308,834",0.37,"46,420,826",0.33,"22,466,963",0.16,"40,748,745",0.19,"7,383,744",0.09,"14,339,394",0.43,"17,454,425",0.85,"9,393,694",0.08,"82,290,661",0.18,"19,203,367",0.05,"234,647,217",0.1,"69,317,168",0.32,"6,904,782",0.2,"89,357,904",0.33,"25,057,268",0.2,"37,342,714",0.18,"103,258,573",0.2,"9,805,766",0.09,"35,578,392",0.16,"5,576,294",0.16,"40,046,078",0.46,"179,564,700",0.53,"19,742,458",0.37,"6,520,217",0.18,"61,288,903",0.39,"58,457,715",0.31,"14,414,603",0.08,"45,854,000",0.21,"7,297,860",0.24
74,     Education services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,               Education,"934,353,108",0.04,"14,699,632",0.06,"3,661,680",0.46,"13,890,587",0,"8,133,500",0,"115,172,333",0.11,"15,340,623",0,"13,078,525",0.4,"3,616,850",0,"2,724,401",0,"39,693,103",0,"25,560,266",0,"3,179,175",0,"3,222,484",0,"37,705,420",0,"16,718,013",0,"10,839,989",0,"9,232,404",0,"11,811,275",0,"11,811,814",0,"3,330,486",0.5,"19,580,539",0,"21,878,366",0.5,"28,932,005",0,"16,981,462",0,"7,822,090",0,"14,918,266",0,"2,733,189",0,"6,605,132",0,"5,979,757",0,"3,956,760",0,"34,913,867",0.08,"6,771,650",0,"79,661,297",0.12,"25,130,615",0.71,"2,943,802",0,"33,214,028",0.32,"10,068,576",0,"12,211,371",0,"39,662,450",0.01,"3,226,261",0,"13,684,109",0,"2,249,337",0,"13,968,277",1.07,"80,037,196",0.02,"8,655,971",0,"2,607,876",0,"25,326,798",0.51,"21,182,814",0.18,"5,319,408",0,"17,748,869",0.01,"2,958,410",0
76,                    Capital outlay,"84,147,850",0.09,"1,162,675",0.67,"464,228",1.72,"1,170,854",0,"872,413",0,"9,785,335",0,"1,735,203",0,"1,103,420",0.33,"261,212",0,"432,834",0,"2,371,415",0,"2,655,124",0,"318,704",0,"148,232",0,"2,856,386",0,"1,523,877",0,"1,416,034",0,"1,318,376",0,"1,016,541",0,"812,498",0,"132,188",0.22,"1,704,541",0,"2,088,948",2.07,"2,327,416",0,"1,638,702",0,"640,536",0,"1,250,230",0,"220,449",0,"739,070",0,"386,656",0,"222,999",0,"2,547,605",0.2,"991,966",0,"6,294,062",0.05,"1,537,324",1.21,"511,766",0,"3,438,777",0,"1,090,181",0,"1,265,004",0,"2,637,319",0,"78,682",0,"1,377,086",0,"322,777",0,"929,951",1.33,"9,724,772",0.09,"959,572",0,"86,217",0,"2,663,272",1.99,"2,397,235",0.01,"419,239",0,"1,566,270",0.03,"531,677",0
77,                 Higher education,"273,934,973",0.04,"4,863,337",0,"865,213",0,"5,509,167",0,"2,561,814",0,"37,201,730",0,"5,380,159",0,"3,122,235",0,"1,282,998",0,"178,195",0,"10,304,869",0,"5,385,463",0,"1,082,318",0,"1,046,262",0,"9,668,012",0,"5,862,136",0,"3,944,718",0,"3,299,521",0,"3,990,409",0,"3,075,283",0,"788,044",0,"5,948,356",0,"5,150,616",0,"11,028,092",0,"4,692,019",0,"2,844,525",0,"3,948,468",0,"861,806",0,"2,194,844",0,"1,467,764",0,"902,074",0,"6,414,132",0,"2,564,532",0,"13,723,924",0.67,"9,625,502",0.63,"1,103,481",0,"9,447,815",0,"3,580,311",0,"4,279,956",0,"10,164,827",0,"647,146",0,"4,046,987",0,"696,354",0,"3,913,615",0,"27,592,367",0,"3,950,995",0,"761,518",0,"7,926,172",0,"6,570,975",0,"1,661,232",0,"6,020,021",0,"792,664",0
78,                    Capital outlay,"30,640,560",0.05,"632,371",0,"173,575",0,"672,413",0,"360,808",0,"3,379,287",0,"808,274",0,"463,854",0,"153,925",0,"43,207",0,"681,851",0,"662,795",0,"130,693",0,"64,133",0,"790,518",0,"572,792",0,"572,606",0,"351,334",0,"414,320",0,"209,194",0,"75,902",0,"652,110",0,"877,488",0,"1,359,914",0,"309,311",0,"339,508",0,"378,440",0,"59,279",0,"289,424",0,"180,509",0,"95,752",0,"934,201",0,"398,277",0,"1,756,807",0.16,"798,732",1.77,"208,117",0,"1,627,354",0,"414,881",0,"786,960",0,"821,727",0,"10,530",0,"443,185",0,"91,915",0,"405,377",0,"2,946,224",0,"353,281",0,"26,608",0,"1,118,094",0,"792,758",0,"162,457",0,"665,359",0,"122,129",0
79,                 Elementary & secondary,"609,926,243",0.06,"7,496,899",0.13,"2,651,136",0.63,"7,732,726",0,"5,021,308",0,"72,054,580",0.17,"9,077,507",0,"9,173,400",0.57,"1,882,216",0,"2,546,206",0,"26,643,911",0.01,"18,245,874",0,"1,973,726",0,"1,978,009",0,"26,330,079",0,"9,765,421",0,"6,401,072",0,"5,656,317",0,"6,853,898",0,"7,904,951",0,"2,369,191",0.7,"12,742,631",0,"15,490,568",0.71,"16,730,543",0,"11,414,003",0,"4,457,621",0,"10,143,623",0,"1,766,460",0,"4,182,018",0.01,"4,120,968",0,"2,855,356",0,"26,291,639",0.1,"3,776,547",0,"63,746,736",0,"13,871,002",1.22,"1,724,107",0,"22,268,471",0.48,"5,920,523",0,"6,650,721",0,"27,116,194",0.01,"2,345,432",0,"8,227,462",0,"1,418,664",0,"9,196,579",1.63,"50,194,697",0.03,"4,417,102",0,"1,588,738",0,"16,328,974",0.79,"13,251,065",0.29,"3,149,841",0,"10,856,187",0.01,"1,923,344",0
80,                    Capital outlay,"52,891,725",0.14,"518,043",1.5,"288,237",2.76,"497,731",0,"511,556",0,"6,374,070",0,"923,367",0,"532,231",0.68,"103,129",0,"389,627",0,"1,682,256",0,"1,879,087",0,"187,608",0,"75,680",0,"2,056,951",0,"948,370",0,"842,674",0,"963,767",0,"600,859",0,"597,824",0,"56,031",0.51,"1,050,660",0,"1,198,104",3.62,"967,476",0,"1,328,863",0,"296,292",0,"869,078",0,"160,908",0,"449,296",0,"205,806",0,"125,475",0,"1,610,713",0.31,"587,243",0,"4,536,813",0,"736,008",1.63,"303,053",0,"1,752,121",0,"669,899",0,"477,516",0,"1,680,413",0,"67,568",0,"928,112",0,"221,974",0,"516,300",2.4,"6,774,900",0.12,"606,291",0,"58,856",0,"1,542,659",3.44,"1,601,541",0.01,"232,738",0,"896,526",0.06,"409,425",0
81,                 Other education,"50,491,892",0,"2,339,396",0,"145,331",0,"648,694",0,"550,378",0,"5,916,023",0,"882,957",0,"782,890",0,"451,636",0,0,0,"2,744,323",0,"1,928,929",0,"123,131",0,"198,213",0,"1,707,329",0,"1,090,456",0,"494,199",0,"276,566",0,"966,968",0,"831,580",0,"173,251",0,"889,552",0,"1,237,182",0,"1,173,370",0,"875,440",0,"519,944",0,"826,175",0,"104,923",0,"228,270",0,"391,025",0,"199,330",0,"2,208,096",0,"430,571",0,"2,190,637",0,"1,634,111",0,"116,214",0,"1,497,742",0,"567,742",0,"1,280,694",0,"2,381,429",0,"233,683",0,"1,409,660",0,"134,319",0,"858,083",0,"2,250,132",0,"287,874",0,"257,620",0,"1,071,652",0,"1,360,774",0,"508,335",0,"872,661",0,"242,402",0
